Fecha de cotización;Apertura;Cierre;Máximo;Mínimo;Promedio;Cantidad negociada;Monto negociado (S/);Fecha anterior;Cierre anterior corregido
15/05/2026;1.69;1.68;1.69;1.68;1.6952902582406046;19052;32298.67;14/05/2026;1.72
14/05/2026;1.72;1.72;1.72;1.72;1.7241912287633345;12655;21819.64;13/05/2026;1.702
13/05/2026;1.7;1.702;1.71;1.7;1.7013634429760418;75214;127966.35;11/05/2026;1.7
12/05/2026;;;;;1.7213144931293751;3857;6639.11;11/05/2026;1.7
11/05/2026;1.69;1.7;1.7;1.69;1.6991805941339861;84964;144369.18;08/05/2026;1.68
08/05/2026;1.68;1.68;1.68;1.68;1.6846943791408422;18716;31530.74;07/05/2026;1.7
07/05/2026;1.67;1.7;1.7;1.67;1.6960177423905207;159505;270523.31;05/05/2026;1.65
06/05/2026;;;;;1.6636543535620052;758;1261.05;05/05/2026;1.65
05/05/2026;1.65;1.65;1.65;1.65;1.6623272686992885;36111;60028.3;04/05/2026;1.7
04/05/2026;1.7;1.7;1.7;1.69;1.694520608766434;40541;68697.56;30/04/2026;1.66
30/04/2026;1.66;1.66;1.66;1.66;1.6601549714852466;16132;26781.62;29/04/2026;1.651
29/04/2026;1.65;1.651;1.65;1.65;1.6506669982731437;106552;175881.87;28/04/2026;1.65
28/04/2026;1.66;1.65;1.67;1.65;1.6530451447076406;176632;291980.67;24/04/2026;1.67
27/04/2026;;1.67;;;1.6659223300970876;1030;1715.9;24/04/2026;1.67
24/04/2026;1.68;1.67;1.68;1.67;1.6757202537127136;78514;131567.5;23/04/2026;1.67
23/04/2026;1.67;1.67;1.68;1.67;1.671791778686149;100057;167274.47;22/04/2026;1.68
22/04/2026;1.68;1.68;1.68;1.68;1.6841146255744794;11097;18688.62;21/04/2026;1.67
21/04/2026;1.7;1.67;1.7;1.67;1.677503773237622;27165;45569.39;17/04/2026;1.67
20/04/2026;;;;;1.675932117527862;3948;6616.58;17/04/2026;1.67
17/04/2026;1.7;1.67;1.7;1.66;1.6716450011284134;132930;222211.77;16/04/2026;1.68
16/04/2026;1.65;1.68;1.68;1.65;1.679792459009819;748045;1256560.35;15/04/2026;1.65
15/04/2026;1.59;1.65;1.65;1.59;1.6446625649808488;214871;353390.29;14/04/2026;1.75
14/04/2026;1.74;1.75;1.75;1.7;1.7348568583520039;40170;69689.2;13/04/2026;1.75
13/04/2026;1.75;1.75;1.8;1.73;1.7407736023762335;384474;669282.19;10/04/2026;1.72
10/04/2026;1.75;1.72;1.77;1.72;1.7608726743549221;1725489;3038366.43;09/04/2026;1.75
09/04/2026;1.75;1.75;1.75;1.75;1.751349840255591;7512;13156.14;08/04/2026;1.72
08/04/2026;1.77;1.72;1.77;1.72;1.7352974513749162;59640;103493.14;07/04/2026;1.72
07/04/2026;1.72;1.72;1.72;1.72;1.721246057640022;110340;189922.29;01/04/2026;1.71
06/04/2026;;;;;1.7495361781076066;8085;14145;01/04/2026;1.71
01/04/2026;1.72;1.71;1.73;1.71;1.7343139190523198;36468;63246.96;31/03/2026;1.72
31/03/2026;1.71;1.72;1.72;1.71;1.722058514257438;16167;27840.52;30/03/2026;1.73
30/03/2026;1.73;1.73;1.73;1.73;1.7439345562192738;18917;32990.01;27/03/2026;1.73
27/03/2026;1.75;1.73;1.75;1.73;1.7419826198905697;12428;21649.36;26/03/2026;1.75
26/03/2026;1.75;1.75;1.75;1.75;1.7535852541108783;28157;49375.7;24/03/2026;1.78
25/03/2026;;;;;1.7730519262981577;2985;5292.56;24/03/2026;1.78
24/03/2026;1.78;1.78;1.78;1.78;1.7887666295301135;15259;27294.79;23/03/2026;1.81
23/03/2026;1.75;1.81;1.81;1.75;1.8082124435027187;2258737;4084276.35;20/03/2026;1.76
20/03/2026;1.72;1.76;1.76;1.72;1.7518241241680341;738612;1293918.32;19/03/2026;1.76
19/03/2026;1.76;1.76;1.77;1.75;1.7604325873069144;604849;1064795.89;18/03/2026;1.76
18/03/2026;1.8;1.76;1.8;1.76;1.7655067029818543;339252;598951.68;17/03/2026;1.79
17/03/2026;1.76;1.79;1.79;1.76;1.777384451786867;26331;46800.31;16/03/2026;1.72
16/03/2026;1.78;1.72;1.78;1.72;1.7573873350485518;36147;63524.28;13/03/2026;1.8
13/03/2026;1.77;1.8;1.8;1.77;1.7777326071949067;26074;46352.6;12/03/2026;1.77
12/03/2026;1.77;1.77;1.77;1.77;1.790187811132901;13258;23734.31;10/03/2026;1.78
11/03/2026;;;;;1.7866891891891892;296;528.86;10/03/2026;1.78
10/03/2026;1.79;1.78;1.8;1.78;1.7864599181470857;88207;157578.27;09/03/2026;1.8
09/03/2026;1.76;1.8;1.8;1.75;1.7620796425593996;76768;135271.33;06/03/2026;1.82
06/03/2026;1.82;1.82;1.82;1.82;1.8204224784102128;71909;130904.76;05/03/2026;1.81
05/03/2026;1.81;1.81;1.81;1.81;1.8082385809312638;45100;81551.56;04/03/2026;1.84
04/03/2026;1.84;1.84;1.84;1.84;1.8359843222861678;10078;18503.05;03/03/2026;1.79
03/03/2026;1.79;1.79;1.8;1.79;1.795670787435663;20789;37330.2;02/03/2026;1.82
02/03/2026;1.82;1.82;1.82;1.82;1.8184364901814565;8046;14631.14;27/02/2026;1.82
27/02/2026;1.82;1.82;1.82;1.82;1.8204793209619707;36051;65630.1;25/02/2026;1.82
26/02/2026;;;;;1.8297594386902774;5986;10952.94;25/02/2026;1.82
25/02/2026;1.86;1.82;1.86;1.82;1.820896898329289;3445240;6273426.83;24/02/2026;1.83
24/02/2026;1.83;1.83;1.83;1.83;1.8300201664572997;238019;435579.57;23/02/2026;1.83
23/02/2026;1.83;1.83;1.83;1.83;1.8312090171595201;26749;48983.01;20/02/2026;1.85
20/02/2026;1.85;1.85;1.87;1.85;1.850118354389483;4070149;7530257.37;19/02/2026;1.85
19/02/2026;1.85;1.85;1.85;1.85;1.8499618516142435;4038703;7471446.48;18/02/2026;1.83
18/02/2026;1.83;1.83;1.83;1.83;1.829911477951965;3055397;5591106.04;17/02/2026;1.81
17/02/2026;1.83;1.81;1.83;1.81;1.8172853482019657;35511;64533.62;13/02/2026;1.83
16/02/2026;;;;;1.8589464993394982;6056;11257.78;13/02/2026;1.83
13/02/2026;1.81;1.83;1.83;1.8;1.8138656002097946;76265;138334.46;12/02/2026;1.78
12/02/2026;1.88;1.8;1.88;1.8;1.8543689724291819;79323;147094.11;11/02/2026;1.9
11/02/2026;1.9;1.9;1.9;1.9;1.9026360163351337;15182;28885.82;10/02/2026;1.9
10/02/2026;1.9;1.9;1.93;1.9;1.9031694502999839;30835;58684.23;09/02/2026;1.92
09/02/2026;1.92;1.92;1.94;1.92;1.9261801888302128;112482;216660.6;06/02/2026;1.92
06/02/2026;1.92;1.92;2;1.9;1.9255801033776723;69841;134484.44;05/02/2026;1.86
05/02/2026;1.85;1.86;1.86;1.85;1.8573677074816555;96623;179464.44;04/02/2026;1.85
04/02/2026;1.85;1.85;1.89;1.85;1.8734123245431111;146261;274007.16;03/02/2026;1.83
03/02/2026;1.83;1.83;1.83;1.83;1.8315503664886552;179951;329589.32;02/02/2026;1.84
02/02/2026;1.84;1.84;1.85;1.82;1.8445458987025678;55263;101935.14;30/01/2026;1.88
30/01/2026;1.93;1.88;1.93;1.85;1.8864055894786282;85160;160646.3;29/01/2026;1.99
29/01/2026;2;1.99;2.03;1.98;1.9811539752459044;2163036;4285307.37;28/01/2026;1.94
28/01/2026;1.95;1.94;1.95;1.9;1.940271391740111;2046783;3971314.5;27/01/2026;1.95
27/01/2026;1.94;1.95;1.95;1.94;1.9468107923709104;161225;313874.57;26/01/2026;1.93
26/01/2026;1.89;1.93;1.93;1.89;1.9134925184653542;220142;421240.07;23/01/2026;1.86
23/01/2026;1.85;1.86;1.86;1.84;1.8489554109601665;54251;100307.68;22/01/2026;1.87
22/01/2026;1.87;1.87;1.88;1.87;1.8710080116030112;318538;595987.15;21/01/2026;1.85
21/01/2026;1.85;1.85;1.85;1.82;1.8410526830170517;951578;1751905.23;20/01/2026;1.84
20/01/2026;1.89;1.84;1.89;1.84;1.8527353396769195;135570;251175.33;19/01/2026;1.87
19/01/2026;1.87;1.87;1.87;1.86;1.8637109648233978;305942;570187.46;16/01/2026;1.87
16/01/2026;1.86;1.87;1.87;1.86;1.8693582728457099;376110;703084.34;15/01/2026;1.86
15/01/2026;1.86;1.86;1.86;1.86;1.8603676601820451;89648;166778.24;14/01/2026;1.85
14/01/2026;1.83;1.85;1.85;1.82;1.8394433808528377;716127;1317275.07;13/01/2026;1.81
13/01/2026;1.83;1.81;1.83;1.81;1.8207354862415286;48988;89194.19;12/01/2026;1.83
12/01/2026;1.8;1.83;1.83;1.8;1.8070404854860866;341431;616979.64;09/01/2026;1.8
09/01/2026;1.8;1.8;1.8;1.8;1.8009395703323021;57207;103026.35;08/01/2026;1.8
08/01/2026;1.8;1.8;1.81;1.79;1.7997925205229552;82225;147987.94;07/01/2026;1.8
07/01/2026;1.78;1.8;1.81;1.78;1.8000054572610293;139264;250675.96;06/01/2026;1.78
06/01/2026;1.77;1.78;1.78;1.73;1.7737171929162636;84814;150436.05;05/01/2026;1.77
05/01/2026;1.75;1.77;1.79;1.75;1.7670973273479909;91557;161790.13;02/01/2026;1.76
02/01/2026;1.75;1.76;1.76;1.75;1.7503936324762193;194801;340978.43;31/12/2025;1.75
01/01/2026;;;;;;;;;1.75
31/12/2025;1.74;1.75;1.75;1.74;1.7498036070057876;422622;739505.5;30/12/2025;1.73
30/12/2025;1.75;1.73;1.75;1.72;1.747831093347476;3333652;5826660.62;29/12/2025;1.75
29/12/2025;1.75;1.75;1.75;1.75;1.7480284605433376;30920;54049.04;26/12/2025;1.76
26/12/2025;1.74;1.76;1.76;1.72;1.7462383826822867;181733;317349.14;24/12/2025;1.7
24/12/2025;1.7;1.7;1.7;1.7;1.7009281133405545;116322;197855.36;23/12/2025;1.76
