Fecha de cotización;Apertura;Cierre;Máximo;Mínimo;Promedio;Cantidad negociada;Monto negociado (S/);Fecha anterior;Cierre anterior corregido
20/05/2026;0.389;0.389;0.389;0.389;0.3860568876236287;40747;15730.66;13/05/2026;0.34
19/05/2026;;;;;0.34;838;284.92;13/05/2026;0.34
18/05/2026;;;;;;;;13/05/2026;0.34
15/05/2026;;;;;0.37000000000000005;48;17.76;13/05/2026;0.34
14/05/2026;;;;;0.34;128;43.52;13/05/2026;0.34
13/05/2026;0.34;0.34;0.34;0.34;0.34008904374758037;10332;3513.8;08/05/2026;0.34
12/05/2026;;;;;0.35;330;115.5;08/05/2026;0.34
11/05/2026;;;;;0.35;11697;4093.95;08/05/2026;0.34
08/05/2026;0.35;0.34;0.35;0.34;0.34704162299666613;189871;65893.14;07/05/2026;0.35
07/05/2026;0.35;0.35;0.35;0.35;0.3500056595569713;423178;148114.695;29/04/2026;0.35
06/05/2026;;;;;0.32003896103896107;770;246.43;29/04/2026;0.35
05/05/2026;;;;;0.34167244907036737;11241;3840.74;29/04/2026;0.35
04/05/2026;;;;;0.34503224477787586;33990;11727.646;29/04/2026;0.35
30/04/2026;;;;;0.35328653624856154;1738;614.012;29/04/2026;0.35
29/04/2026;0.35;0.35;0.35;0.35;0.349384496888485;310299;108413.66;24/04/2026;0.3
28/04/2026;;0.3;;;0.33735915492957746;4828;1628.77;24/04/2026;0.3
27/04/2026;;0.3;;;0.30652073436898186;7789;2387.49;24/04/2026;0.3
24/04/2026;0.29;0.3;0.3;0.29;0.2981172893440045;85839;25590.09;22/04/2026;0.294
23/04/2026;;;;;0.3;34462;10338.6;22/04/2026;0.294
22/04/2026;0.323;0.323;0.323;0.323;0.3229642336348929;137839;44517.067;21/04/2026;0.323
21/04/2026;0.33;0.323;0.33;0.323;0.32527931635456947;157216;51139.113;20/04/2026;0.326
20/04/2026;0.326;0.326;0.326;0.326;0.3339591723371754;36005;12024.2;08/04/2026;0.355
17/04/2026;;;;;0.358536704332981;12301;4410.36;08/04/2026;0.355
16/04/2026;;;;;0.365;4500;1642.5;08/04/2026;0.355
15/04/2026;;;;;0.35560023004025704;39993;14221.52;08/04/2026;0.355
14/04/2026;;;;;0.36354619856634873;17717;6440.948;08/04/2026;0.355
13/04/2026;;;;;0.36210130339398633;23247;8417.769;08/04/2026;0.355
10/04/2026;;;;;0.3560453103760762;6621;2357.376;08/04/2026;0.355
09/04/2026;;;;;0.3626220405382388;5871;2128.954;08/04/2026;0.355
