Fecha de cotización;Apertura;Cierre;Máximo;Mínimo;Promedio;Cantidad negociada;Monto negociado (S/);Fecha anterior;Cierre anterior corregido
19/05/2026;0.307;0.33;0.33;0.307;0.3227607395869969;179127;57815.163;18/05/2026;0.325
18/05/2026;0.33;0.325;0.33;0.325;0.3281058350569523;102981;33788.667;15/05/2026;0.329
15/05/2026;0.3;0.329;0.33;0.3;0.3267603110145269;262753;85857.252;14/05/2026;0.333
14/05/2026;0.33;0.333;0.335;0.325;0.33123083158465877;152973;50669.374;13/05/2026;0.329
13/05/2026;0.33;0.329;0.33;0.325;0.32854463622335256;139976;45988.364;12/05/2026;0.31
12/05/2026;0.3;0.31;0.328;0.3;0.31961386867480057;165726;52968.328;11/05/2026;0.32
11/05/2026;0.32;0.32;0.326;0.32;0.3202791311629299;414393;132721.43;08/05/2026;0.326
08/05/2026;0.326;0.326;0.326;0.326;0.32368585534086075;84668;27405.834;07/05/2026;0.325
07/05/2026;0.325;0.325;0.33;0.32;0.32489222629721226;261214;84866.398;06/05/2026;0.323
06/05/2026;0.319;0.323;0.323;0.319;0.3198277653305909;190583;60953.735;04/05/2026;0.31
05/05/2026;;;;;0.3079230579008726;28307;8716.378;04/05/2026;0.31
04/05/2026;0.3;0.31;0.31;0.3;0.30442629878734484;139611;42501.26;30/04/2026;0.3
30/04/2026;0.3;0.3;0.305;0.3;0.30032204380861927;336920;101184.503;29/04/2026;0.32
29/04/2026;0.302;0.32;0.32;0.302;0.31021570348483535;115070;35696.521;27/04/2026;0.308
28/04/2026;;0.308;;;0.2965995725665436;10294;3053.196;27/04/2026;0.308
27/04/2026;0.308;0.308;0.308;0.308;0.30374801780792876;70755;21491.691;23/04/2026;0.308
24/04/2026;;;;;0.3060653843059789;111877;34241.677;23/04/2026;0.308
23/04/2026;0.31;0.308;0.314;0.308;0.31064135340267307;586965;182335.602;22/04/2026;0.31
22/04/2026;0.318;0.31;0.318;0.31;0.31289638006964143;238651;74673.034;21/04/2026;0.32
21/04/2026;0.32;0.32;0.32;0.32;0.31948217013332325;106058;33883.64;20/04/2026;0.317
20/04/2026;0.31;0.317;0.317;0.31;0.30932436359614063;198891;61521.832;17/04/2026;0.31
17/04/2026;0.333;0.31;0.333;0.31;0.3190329652672443;311176;99275.402;16/04/2026;0.334
16/04/2026;0.322;0.334;0.334;0.322;0.3295791043226041;269606;88856.504;15/04/2026;0.313
15/04/2026;0.3;0.313;0.313;0.3;0.311271091335727;607714;189163.8;14/04/2026;0.34
14/04/2026;0.335;0.34;0.34;0.324;0.33672042891511333;649266;218621.126;13/04/2026;0.335
13/04/2026;0.33;0.335;0.335;0.33;0.335226676812697;183980;61675.004;10/04/2026;0.343
10/04/2026;0.345;0.343;0.345;0.343;0.34840068836247295;185658;64683.375;09/04/2026;0.343
09/04/2026;0.343;0.343;0.343;0.343;0.34302397022811654;113933;39081.75;08/04/2026;0.344
08/04/2026;0.33;0.344;0.344;0.33;0.3346447535751087;397890;133151.801;07/04/2026;0.315
07/04/2026;0.317;0.315;0.317;0.315;0.31659099529020024;112319;35559.184;06/04/2026;0.317
06/04/2026;0.317;0.317;0.317;0.317;0.31955395528804814;23260;7432.825;01/04/2026;0.339
01/04/2026;0.32;0.339;0.339;0.32;0.32864196688845443;197937;65050.405;31/03/2026;0.311
31/03/2026;0.305;0.311;0.311;0.305;0.3084841574373512;215527;66486.665;30/03/2026;0.303
30/03/2026;0.305;0.303;0.306;0.303;0.30521427984269067;231137;70546.313;27/03/2026;0.305
27/03/2026;0.31;0.305;0.31;0.305;0.30798400278583205;140712;43337.045;26/03/2026;0.305
26/03/2026;0.31;0.305;0.31;0.303;0.3080268953581484;387130;119246.452;25/03/2026;0.301
25/03/2026;0.31;0.301;0.31;0.301;0.30598391778457673;114723;35103.393;24/03/2026;0.29
24/03/2026;0.292;0.29;0.293;0.29;0.2915367756684226;342074;99727.151;23/03/2026;0.285
23/03/2026;0.266;0.285;0.285;0.266;0.27831822386679;282141;78524.982;20/03/2026;0.272
20/03/2026;0.3;0.272;0.3;0.27;0.28219686653609044;546807;154307.222;19/03/2026;0.298
19/03/2026;0.281;0.298;0.299;0.281;0.2947029113581447;613322;180747.779;18/03/2026;0.32
18/03/2026;0.346;0.32;0.346;0.32;0.33212851903643703;189505;62940.015;17/03/2026;0.35
17/03/2026;0.35;0.35;0.35;0.35;0.35229319443180784;43964;15488.218;16/03/2026;0.35
16/03/2026;0.35;0.35;0.35;0.35;0.3477232297927434;95003;33034.75;13/03/2026;0.35
13/03/2026;0.35;0.35;0.35;0.34;0.34901209473502187;306497;106971.16;12/03/2026;0.35
12/03/2026;0.35;0.35;0.35;0.35;0.3495726305296444;302958;105905.825;11/03/2026;0.37
11/03/2026;0.36;0.37;0.37;0.36;0.36561155459467454;108234;39571.601;10/03/2026;0.375
