Fecha de cotización;Apertura;Cierre;Máximo;Mínimo;Promedio;Cantidad negociada;Monto negociado ($);Fecha anterior;Cierre anterior corregido
19/05/2026;4.89;4.75;4.89;4.75;4.8288668828117665;42564;205535.89;18/05/2026;4.86
18/05/2026;4.82;4.88;4.96;4.82;4.877667731629393;10955;53434.85;15/05/2026;4.82
15/05/2026;5;4.82;5;4.8;4.84332370433305;47080;228023.68;14/05/2026;5.04
14/05/2026;4.96;5.04;5.04;4.89;4.943277930654926;9085;44909.68;13/05/2026;4.81
13/05/2026;4.89;4.81;4.92;4.81;4.8666157946288235;43901;213649.3;12/05/2026;4.92
12/05/2026;5.13;4.92;5.13;4.85;4.937929017947167;39672;195897.52;11/05/2026;5.05
11/05/2026;5.05;5.1;5.1;5.05;5.069261966179421;6978;35373.31;08/05/2026;5.02
08/05/2026;5.1;5.02;5.1;5.01;5.034655362614913;24475;123223.19;07/05/2026;5.08
07/05/2026;5.13;5.08;5.13;5.07;5.102419410986563;14363;73286.05;06/05/2026;5.15
06/05/2026;5.05;5.15;5.15;5.05;5.078265572547557;2681;13614.83;05/05/2026;5
05/05/2026;5.04;5;5.07;4.94;5.0124715436756615;15638;78385.03;04/05/2026;5.31
04/05/2026;5.12;5.04;5.12;5.03;5.069944578137533;13713;69524.15;30/04/2026;5.11
30/04/2026;5.05;5.11;5.11;5.03;5.057507817385867;15990;80869.55;29/04/2026;5.11
29/04/2026;5.25;5.11;5.25;5.1;5.143281737390383;16991;87389.5;28/04/2026;5.3
28/04/2026;5.4;5.3;5.4;5.25;5.29274721910399;9799;51863.63;27/04/2026;5.31
27/04/2026;5.35;5.37;5.37;5.35;5.363370227583634;8041;43126.86;24/04/2026;5.2
24/04/2026;5.1;5.26;5.6;5.05;5.268568636295294;6651;35041.25;23/04/2026;5.1
23/04/2026;5.2;5.1;5.2;5.1;5.13355727131491;21241;109041.89;22/04/2026;5.21
22/04/2026;5.27;5.21;5.27;5.2;5.240938433375084;20758;108791.4;21/04/2026;5.31
21/04/2026;5.63;5.31;5.63;5.3;5.422896698172129;24017;130241.71;20/04/2026;5.51
20/04/2026;5.57;5.51;5.57;5.51;5.558269026548673;2825;15702.11;17/04/2026;5.58
17/04/2026;5.5;5.58;5.61;5.5;5.584435601754101;18471;103150.11;16/04/2026;5.5
16/04/2026;5.34;5.5;5.63;5.31;5.449535398230089;12656;68969.32;15/04/2026;5.34
15/04/2026;5.4;5.34;5.48;5.32;5.38718095963857;36743;197941.19;14/04/2026;5.53
14/04/2026;5.75;5.53;5.75;5.53;5.629788026510379;18257;102783.04;13/04/2026;5.74
13/04/2026;5.82;5.74;5.97;5.74;5.818748831229546;17112;99570.43;10/04/2026;5.89
10/04/2026;5.89;5.89;6;5.89;5.938094589996598;8817;52356.18;09/04/2026;5.89
09/04/2026;5.95;5.89;6;5.89;5.962581643862978;10013;59703.33;08/04/2026;5.92
08/04/2026;5.92;5.92;5.93;5.88;5.907269059019745;18587;109798.41;07/04/2026;5.75
07/04/2026;5.75;5.75;5.75;5.69;5.737045235803658;8312;47686.32;06/04/2026;5.81
06/04/2026;5.7;5.81;5.83;5.7;5.775025493649763;21574;124590.4;01/04/2026;5.57
01/04/2026;5.5;5.57;5.66;5.5;5.591063792189433;5659;31639.83;31/03/2026;5.55
31/03/2026;5.42;5.55;5.55;5.42;5.489167806657547;4386;24075.49;30/03/2026;5.28
30/03/2026;5.65;5.28;5.65;5.28;5.4480194328324485;8851;48220.42;27/03/2026;5.56
27/03/2026;5.78;5.56;5.78;5.56;5.651763175906913;7305;41286.13;26/03/2026;5.78
26/03/2026;5.95;5.78;5.96;5.71;5.850846446298448;18938;110803.33;25/03/2026;5.93
25/03/2026;5.81;5.93;5.95;5.75;5.8610665273232305;36361;213114.24;24/03/2026;5.76
24/03/2026;5.85;5.76;5.85;5.75;5.776730925875645;7366;42551.4;23/03/2026;5.82
23/03/2026;5.65;5.82;5.82;5.65;5.747411644116441;24390;140179.37;20/03/2026;5.61
20/03/2026;5.65;5.61;5.7;5.35;5.51556028577021;20436;112715.99;19/03/2026;5.76
19/03/2026;5.76;5.76;5.9;5.6;5.724750736548303;25796;147675.67;18/03/2026;5.58
18/03/2026;5.75;5.58;6;5.55;5.791544957774466;30195;174875.7;17/03/2026;5.68
17/03/2026;5.3;5.68;5.7;5;5.504788566307399;84802;466817.08;16/03/2026;5.09
16/03/2026;5.07;5.09;5.35;5.07;5.228697462874678;18249;95418.5;13/03/2026;5.06
13/03/2026;4.97;5.06;5.06;4.92;4.972794546800819;22959;114170.39;12/03/2026;4.97
12/03/2026;5;4.97;5;4.88;4.920225585461633;34887;171651.91;11/03/2026;5.11
11/03/2026;5.7;5.11;6.25;5.11;5.859200832785822;234394;1373361.52;10/03/2026;4.88
10/03/2026;4.74;4.88;4.96;4.74;4.8750740430287784;10737;52343.67;09/03/2026;4.8
09/03/2026;4.8;4.8;4.8;4.61;4.735758537040493;21436;101515.72;06/03/2026;4.83
06/03/2026;4.95;4.83;4.95;4.73;4.809533194725299;35111;168867.52;05/03/2026;4.98
05/03/2026;5.11;4.98;5.11;4.98;4.990295924064768;21492;107251.44;04/03/2026;5.11
04/03/2026;5.08;5.11;5.11;5.08;5.095264028221806;9071;46219.14;03/03/2026;5.06
03/03/2026;5.09;5.06;5.09;4.88;4.962778432914046;15264;75751.85;02/03/2026;5.12
02/03/2026;5.24;5.12;5.24;5.12;5.149449269507844;14853;76484.77;27/02/2026;5.4
27/02/2026;5.34;5.4;5.44;5.34;5.410120004528473;17666;95575.18;26/02/2026;5.27
26/02/2026;5.13;5.27;5.31;5.13;5.248802269250383;15688;82343.21;25/02/2026;5.12
25/02/2026;5.19;5.12;5.24;5.12;5.1632326007326;10920;56382.5;24/02/2026;5.1
24/02/2026;5.1;5.1;5.1;5.03;5.091359099350046;8616;43867.15;23/02/2026;5.08
23/02/2026;5.2;5.08;5.2;4.99;5.040938378045494;25981;130968.62;20/02/2026;5.32
20/02/2026;5.18;5.32;5.32;5.18;5.259535017221585;43550;229052.75;19/02/2026;5.03
19/02/2026;4.89;5.03;5.03;4.89;4.949883077565508;9579;47414.93;18/02/2026;4.91
18/02/2026;4.88;4.91;4.96;4.88;4.922001776724903;6754;33243.2;17/02/2026;4.98
17/02/2026;4.96;4.98;4.98;4.96;4.970551789374113;6343;31528.21;16/02/2026;5.09
16/02/2026;4.99;5.09;5.09;4.97;5.001668296924247;9201;46020.35;13/02/2026;4.99
13/02/2026;4.93;4.99;4.99;4.91;4.942949551766567;5689;28120.44;12/02/2026;4.91
12/02/2026;4.9;4.91;4.91;4.9;4.90479461756374;4236;20776.71;11/02/2026;4.81
11/02/2026;4.84;4.81;4.86;4.81;4.83752269170579;6390;30911.77;10/02/2026;4.81
10/02/2026;4.91;4.81;4.96;4.78;4.8557848056358015;19731;95809.49;09/02/2026;4.83
09/02/2026;4.84;4.83;4.84;4.81;4.8210326962928844;8686;41875.49;06/02/2026;4.73
06/02/2026;4.6;4.73;4.76;4.56;4.657645075282309;25504;118788.58;05/02/2026;4.54
05/02/2026;4.65;4.54;4.72;4.53;4.589269224130491;46348;212703.45;04/02/2026;4.62
04/02/2026;4.72;4.62;4.72;4.6;4.6450042319628615;38989;181104.07;03/02/2026;4.72
03/02/2026;4.84;4.72;4.85;4.72;4.797568859473192;29916;143524.07;02/02/2026;4.85
02/02/2026;4.87;4.85;4.87;4.83;4.855120853080569;21100;102443.05;30/01/2026;4.85
30/01/2026;4.87;4.85;4.91;4.83;4.849137233129763;99065;480379.78;29/01/2026;4.98
29/01/2026;5.3;4.98;5.3;4.98;5.0593360721537515;42354;214283.12;28/01/2026;5.31
28/01/2026;5.49;5.31;5.6;5.31;5.401124597345703;38805;209590.64;27/01/2026;5.42
27/01/2026;5.62;5.42;5.62;5.42;5.540271075489908;23831;132030.2;26/01/2026;5.56
26/01/2026;5.72;5.56;5.73;5.55;5.62372429853459;35212;198022.58;23/01/2026;5.76
23/01/2026;5.56;5.76;5.95;5.44;5.612297304567709;18587;104315.77;22/01/2026;5.67
22/01/2026;5.1;5.67;5.9;5.1;5.4807438501731935;51099;280060.53;21/01/2026;4.99
21/01/2026;4.74;4.99;4.99;4.74;4.867245533187808;12369;60202.96;20/01/2026;4.62
20/01/2026;4.94;4.62;4.94;4.62;4.743948421949612;62197;295059.36;19/01/2026;4.85
19/01/2026;4.69;4.85;4.99;4.69;4.881695261736147;13697;66864.58;16/01/2026;4.62
16/01/2026;4.63;4.62;4.8;4.61;4.663621376085504;37425;174536.03;15/01/2026;4.63
15/01/2026;4.67;4.63;4.68;4.6;4.643270539704366;14545;67536.37;14/01/2026;4.7
14/01/2026;4.77;4.7;4.78;4.7;4.732124380647042;27448;129887.35;13/01/2026;4.76
13/01/2026;4.82;4.76;4.82;4.74;4.771195060753855;35471;169239.06;12/01/2026;4.81
12/01/2026;4.82;4.81;4.87;4.8;4.84098514672141;41405;200440.99;09/01/2026;4.9
09/01/2026;4.98;4.9;5;4.9;4.926512882417292;26509;130596.93;08/01/2026;5
08/01/2026;5.02;5;5.08;4.97;5.0143583294725;15109;75761.94;07/01/2026;5.01
07/01/2026;4.95;5.01;5.07;4.93;4.996587437075946;22845;114147.04;06/01/2026;4.99
06/01/2026;4.83;4.99;4.99;4.82;4.872259474223284;14645;71354.24;05/01/2026;4.84
05/01/2026;4.74;4.84;4.85;4.74;4.779542310979874;12869;61507.93;02/01/2026;4.81
02/01/2026;4.83;4.81;4.92;4.79;4.829566604419545;25704;124139.18;31/12/2025;4.95
01/01/2026;;;;;;;;;4.95
31/12/2025;4.9;4.95;5;4.9;4.960008311400472;7219;35806.3;30/12/2025;4.85
30/12/2025;4.63;4.85;4.85;4.63;4.7496436058700215;5247;24921.38;29/12/2025;4.64
29/12/2025;4.61;4.64;4.66;4.58;4.611818338980707;28922;133383.01;26/12/2025;4.62
26/12/2025;4.66;4.62;4.66;4.57;4.6137942815308906;24587;113439.36;24/12/2025;4.66
24/12/2025;4.63;4.66;4.66;4.63;4.637282204020849;2686;12455.74;23/12/2025;4.55
23/12/2025;4.55;4.55;4.6;4.55;4.558603174603175;4725;21539.4;22/12/2025;4.52
22/12/2025;4.64;4.52;4.64;4.52;4.579436157109622;7307;33461.94;19/12/2025;4.62
19/12/2025;4.64;4.62;4.64;4.61;4.630622211786805;8518;39443.64;18/12/2025;4.64
18/12/2025;4.62;4.64;4.64;4.58;4.612136544410075;4526;20874.53;17/12/2025;4.56
17/12/2025;4.61;4.56;4.61;4.56;4.584275018574613;17497;80211.06;16/12/2025;4.56
16/12/2025;4.62;4.56;4.62;4.54;4.581556617434115;6906;31640.23;15/12/2025;4.58
15/12/2025;4.63;4.58;4.63;4.53;4.5986515973478;16590;76291.63;12/12/2025;4.61
12/12/2025;4.66;4.61;4.66;4.61;4.63191381330556;7681;35577.73;11/12/2025;4.65
11/12/2025;4.66;4.65;4.66;4.65;4.675821645384133;4777;22336.4;10/12/2025;4.62
10/12/2025;4.9;4.62;4.9;4.62;4.695334537945277;19370;90948.63;05/12/2025;5.04
05/12/2025;5;5.04;5.05;5;5.022522234080398;5622;28236.62;04/12/2025;5
04/12/2025;4.99;5;5;4.98;4.995295444930193;21273;106264.92;03/12/2025;4.97
03/12/2025;4.85;4.97;4.97;4.85;4.875476790212307;2779;13548.95;02/12/2025;4.82
02/12/2025;4.82;4.82;4.82;4.8;4.815259593679458;4430;21331.6;01/12/2025;4.76
01/12/2025;4.71;4.76;4.76;4.71;4.754404267931239;5061;24062.04;28/11/2025;5.1
28/11/2025;4.82;5.1;5.1;4.72;4.799424242424243;10230;49098.11;27/11/2025;5.1
27/11/2025;4.85;5.1;5.1;4.85;4.949593041317179;3219;15932.74;26/11/2025;4.75
26/11/2025;4.65;4.75;4.75;4.65;4.6853991101805805;3821;17902.91;25/11/2025;4.7
25/11/2025;4.77;4.7;4.77;4.59;4.680924247915912;11036;51658.68;24/11/2025;4.83
24/11/2025;4.73;4.83;4.83;4.73;4.797334359895633;23379;112156.88;21/11/2025;4.75
21/11/2025;4.74;4.75;4.79;4.7;4.737461008342401;11028;52244.72;20/11/2025;4.84
20/11/2025;4.89;4.84;4.9;4.84;4.877631255321162;10571;51561.44;19/11/2025;4.85
19/11/2025;5.02;4.85;5.02;4.85;4.918399334788483;9621;47319.92;18/11/2025;5.1
18/11/2025;4.94;5.1;5.1;4.94;5.000900900900901;3330;16653;17/11/2025;5.08
17/11/2025;5.18;5.08;5.18;5.08;5.124854854854855;5994;30718.38;14/11/2025;5.16
14/11/2025;4.91;5.16;5.16;4.91;5.025962410887881;3086;15510.12;13/11/2025;4.95
13/11/2025;5.16;4.95;5.2;4.91;5.032973966539124;13329;67084.51;12/11/2025;5.22
12/11/2025;5.3;5.22;5.3;5.18;5.22349722062488;10434;54501.97;11/11/2025;5.2
11/11/2025;5.25;5.2;5.3;5.2;5.245450348688734;10181;53403.93;10/11/2025;5.19
10/11/2025;5.4;5.19;5.4;5.16;5.24759284302507;19226;100890.22;07/11/2025;5.4
07/11/2025;5.65;5.4;5.65;5.4;5.529219626500035;14083;77868;06/11/2025;5.57
06/11/2025;5.63;5.57;5.7;5.55;5.608136061048872;12318;69081.02;05/11/2025;5.48
05/11/2025;5.6;5.48;5.63;5.48;5.559200227531286;17580;97730.74;04/11/2025;5.66
04/11/2025;5.71;5.66;5.76;5.65;5.71578431372549;14280;81621.4;03/11/2025;5.64
03/11/2025;5.92;5.64;5.92;5.64;5.760853443941679;15912;91666.7;31/10/2025;5.9
31/10/2025;5.87;5.9;5.98;5.87;5.917763975155279;12236;72409.76;30/10/2025;5.84
30/10/2025;6;5.84;6.04;5.84;5.9669813343730205;20519;122436.49;29/10/2025;5.95
29/10/2025;6.1;5.95;6.13;5.9;6.024553452115812;17960;108200.98;28/10/2025;6.1
28/10/2025;6.04;6.1;6.14;6.04;6.091310455359668;10607;64610.53;27/10/2025;6.05
27/10/2025;6.16;6.05;6.21;6.05;6.131695153689245;14217;87174.31;24/10/2025;6.15
24/10/2025;6.2;6.15;6.2;6.15;6.173154600811908;5912;36495.69;23/10/2025;6.2
23/10/2025;6.26;6.2;6.26;6.2;6.220824579343684;10757;66917.41;22/10/2025;6.29
22/10/2025;6.38;6.29;6.38;6.29;6.331763997591812;4983;31551.18;21/10/2025;6.32
21/10/2025;6.27;6.32;6.33;6.24;6.3004898946955326;15289;96328.19;20/10/2025;6.3
20/10/2025;6.48;6.3;6.48;6.3;6.388771195535522;9318;59530.57;17/10/2025;6.28
17/10/2025;6.41;6.28;6.41;6.28;6.355977305595728;8989;57133.88;16/10/2025;6.5
16/10/2025;6.56;6.5;6.56;6.5;6.50889176166412;8509;55384.16;15/10/2025;6.54
15/10/2025;6.6;6.54;6.6;6.54;6.57158733880422;8530;56055.64;14/10/2025;6.61
14/10/2025;6.65;6.61;6.65;6.61;6.620761544693492;3703;24516.68;13/10/2025;6.58
13/10/2025;6.57;6.58;6.58;6.55;6.568235757934162;5073;33320.66;10/10/2025;6.55
10/10/2025;6.63;6.55;6.64;6.55;6.589737020699016;11788;77679.82;09/10/2025;6.6
09/10/2025;6.56;6.6;6.61;6.56;6.586899864515335;8119;53479.04;07/10/2025;6.62
