Fecha de cotización;Apertura;Cierre;Máximo;Mínimo;Promedio;Cantidad negociada;Monto negociado (S/);Fecha anterior;Cierre anterior corregido
19/05/2026;1.82;1.819;1.82;1.8;1.8149190688144694;28308;51376.729;18/05/2026;1.801
18/05/2026;1.799;1.801;1.82;1.799;1.7995278908260253;152344;274147.277;15/05/2026;1.795
15/05/2026;1.75;1.795;1.8;1.75;1.7939490401931109;130495;234101.38;14/05/2026;1.79
14/05/2026;1.85;1.79;1.85;1.76;1.7896341678516205;514788;921282.194;13/05/2026;1.81
13/05/2026;1.86;1.81;1.86;1.81;1.8383159937888198;25760;47355.02;12/05/2026;1.831
12/05/2026;1.82;1.831;1.86;1.82;1.8245981047982986;122731;223934.75;11/05/2026;1.86
11/05/2026;1.85;1.86;1.87;1.83;1.860752516203509;83161;154742.04;08/05/2026;1.849
08/05/2026;1.86;1.849;1.89;1.85;1.8562800092578955;95054;176446.84;07/05/2026;1.84
07/05/2026;1.86;1.84;1.86;1.84;1.8430233188475196;221366;407982.7;06/05/2026;1.838
06/05/2026;1.81;1.838;1.85;1.81;1.829179378812647;250810;458776.48;05/05/2026;1.81
05/05/2026;1.79;1.81;1.82;1.78;1.801905990395929;366303;660043.57;04/05/2026;1.812
04/05/2026;1.8;1.812;1.85;1.8;1.8264558338458825;385329;703786.4;30/04/2026;1.825
30/04/2026;1.83;1.825;1.83;1.8;1.814047059296119;199153;361272.914;29/04/2026;1.84
29/04/2026;1.87;1.84;1.88;1.8;1.8058947753025585;1289089;2327959.09;28/04/2026;1.842
28/04/2026;1.85;1.842;1.9;1.75;1.8196671258845831;169854;309077.74;27/04/2026;1.887
27/04/2026;1.96;1.887;1.96;1.88;1.903117263731338;116012;220784.44;24/04/2026;1.92
24/04/2026;1.94;1.92;1.94;1.91;1.927264919273895;69742;134411.31;23/04/2026;1.96
23/04/2026;1.94;1.96;1.96;1.94;1.9339911061700945;21588;41751;22/04/2026;1.99
22/04/2026;1.94;1.99;1.99;1.94;1.9675122067975108;20890;41101.33;21/04/2026;1.92
21/04/2026;1.93;1.92;1.93;1.91;1.9201903472386397;139587;268033.61;20/04/2026;1.92
20/04/2026;1.92;1.92;1.92;1.92;1.9200188646471665;247553;475306.43;17/04/2026;1.92
17/04/2026;1.95;1.92;1.95;1.89;1.9095187468616799;529742;1011552.28;16/04/2026;1.99
16/04/2026;1.9;1.99;2;1.9;1.921671956375327;1167046;2242679.57;15/04/2026;1.85
15/04/2026;1.8;1.85;1.91;1.8;1.853322089940047;375628;696159.67;14/04/2026;1.96
14/04/2026;2.05;2.08;2.08;2.04;2.0640490235650337;810141;1672170.74;13/04/2026;2.04
13/04/2026;2.07;2.04;2.1;2.04;2.069964983690233;1197442;2478663.01;10/04/2026;2.05
10/04/2026;2.07;2.05;2.07;2.05;2.0591688253787677;130093;267883.45;09/04/2026;2.06
09/04/2026;2.07;2.06;2.07;2.06;2.0662912726709037;64510;133296.45;08/04/2026;2.06
08/04/2026;2.08;2.06;2.09;2.06;2.069141563118884;119671;247616.24;07/04/2026;2.06
07/04/2026;2.05;2.06;2.06;2.03;2.0430434012730543;107301;219220.6;06/04/2026;2.08
06/04/2026;2.05;2.08;2.08;2.05;2.05983661848445;45660;94052.14;01/04/2026;2.02
01/04/2026;2.03;2.02;2.04;2.01;2.0284980506486336;115936;235175.95;31/03/2026;2.03
31/03/2026;1.98;2.03;2.1;1.98;2.007076930164938;390692;784148.9;30/03/2026;2.02
30/03/2026;2.01;2.02;2.1;2.01;2.018814367138365;366336;739564.38;27/03/2026;2
27/03/2026;2.1;2;2.1;2;2.0675768883100636;233423;482620;26/03/2026;2.06
26/03/2026;2.05;2.06;2.1;2.05;2.0809875722854785;55682;115873.55;25/03/2026;2.03
25/03/2026;2.06;2.03;2.06;2.03;2.0454663421569457;82997;169767.57;24/03/2026;2
24/03/2026;1.96;2;2;1.95;1.9515819257606082;1849638;3609720.09;23/03/2026;1.9
23/03/2026;1.94;1.9;1.94;1.89;1.9021044375484117;410542;780893.76;20/03/2026;1.9
20/03/2026;1.91;1.9;2;1.9;1.9077714464132385;678983;1295344.38;19/03/2026;1.91
19/03/2026;1.96;1.91;1.99;1.91;1.9580345494521536;219222;429244.25;18/03/2026;2
18/03/2026;2;2;2;1.95;1.9676355229321332;1650348;3247283.35;17/03/2026;2
17/03/2026;2.01;2;2.03;1.94;1.9999221225322936;525184;1050327.1;16/03/2026;2
16/03/2026;2.05;2;2.05;1.99;2.0472758015787935;1846980;3781277.46;13/03/2026;2.05
13/03/2026;2.01;2.05;2.05;2.01;2.031479125469548;251838;511603.64;12/03/2026;2.02
12/03/2026;2.02;2.02;2.07;2.02;2.022359383711176;383846;776274.56;11/03/2026;2.05
11/03/2026;2.01;2.05;2.05;2.01;2.0466448998644333;201377;412147.21;10/03/2026;2.01
10/03/2026;2.02;2.01;2.03;2.01;2.0195865989699247;218819;441923.92;09/03/2026;2.02
09/03/2026;2.02;2.02;2.03;2.02;2.022487565919372;120033;242765.25;06/03/2026;2.05
06/03/2026;2.05;2.05;2.05;2.05;2.051903639203888;69136;141860.41;05/03/2026;2.03
05/03/2026;2.05;2.03;2.05;2.01;2.030389240506329;467680;949572.44;04/03/2026;2.08
04/03/2026;2.1;2.08;2.1;2.07;2.0850540975298033;45381;94621.84;03/03/2026;2.07
03/03/2026;2.07;2.07;2.08;2.01;2.0550974855901765;119710;246015.72;02/03/2026;2.07
02/03/2026;2.13;2.07;2.13;2.07;2.07371991285654;2223001;4609881.44;27/02/2026;2.09
27/02/2026;2.09;2.09;2.1;2.07;2.0984336396253185;269242;564986.47;26/02/2026;2.09
26/02/2026;2.09;2.09;2.09;2.07;2.089964924317139;116605;243700.36;25/02/2026;2.09
25/02/2026;2.06;2.09;2.1;2.06;2.0895844698647905;374678;782921.33;24/02/2026;2.07
24/02/2026;2.09;2.07;2.09;2.07;2.0804925999618415;366890;763311.93;23/02/2026;2.09
23/02/2026;2.08;2.09;2.11;2.08;2.091871186815007;181115;378869.25;20/02/2026;2.11
20/02/2026;2.1;2.11;2.11;2.09;2.1069343512455165;151945;320138.14;19/02/2026;2.11
19/02/2026;2.09;2.11;2.11;2.09;2.09166596456449;80710;168818.36;18/02/2026;2.08
18/02/2026;2.15;2.08;2.15;2.08;2.109363202430028;165924;349993.98;17/02/2026;2.15
17/02/2026;2.17;2.15;2.17;2.15;2.1594558634174255;83876;181126.52;16/02/2026;2.15
16/02/2026;2.18;2.15;2.18;2.15;2.167592256632446;46853;101558.2;13/02/2026;2.17
13/02/2026;2.18;2.17;2.18;2.17;2.1721185756070382;107695;233926.31;12/02/2026;2.18
12/02/2026;2.18;2.18;2.19;2.16;2.176515437415066;231062;502910.01;11/02/2026;2.19
11/02/2026;2.18;2.19;2.2;2.17;2.1901514908624558;224568;491837.94;10/02/2026;2.15
10/02/2026;2.16;2.15;2.16;2.11;2.1483772358943063;293339;630202.83;09/02/2026;2.16
09/02/2026;2.15;2.16;2.16;2.14;2.1590502506306812;1461912;3156341.47;06/02/2026;2.16
06/02/2026;2.16;2.16;2.18;2.13;2.147679403455993;218056;468314.38;05/02/2026;2.14
05/02/2026;2.15;2.14;2.15;2.12;2.1330396684277177;156346;333492.22;04/02/2026;2.12
04/02/2026;2.11;2.12;2.12;2.1;2.1029131309880844;2001266;4208488.55;03/02/2026;2.1
03/02/2026;2.11;2.1;2.11;2.05;2.0946065343988964;585731;1226875.98;02/02/2026;2.1
02/02/2026;2.13;2.1;2.15;2.08;2.1101892866535077;330821;698094.93;30/01/2026;2.16
30/01/2026;2.17;2.16;2.2;2.12;2.151459072501633;2487875;5352561.24;29/01/2026;2.2
29/01/2026;2.16;2.2;2.2;2.15;2.171686021103082;620099;1346660.33;28/01/2026;2.15
28/01/2026;2.15;2.15;2.15;2.1;2.1475413270424344;2324628;4992234.7;27/01/2026;2.15
27/01/2026;2.13;2.15;2.15;2.1;2.1250914690991123;970765;2062964.42;26/01/2026;2.1
26/01/2026;2.1;2.1;2.12;2.08;2.112934317719933;513213;1084385.36;23/01/2026;2.08
23/01/2026;2.07;2.08;2.08;2.05;2.067152352522428;508518;1051184.18;22/01/2026;2.02
22/01/2026;2.07;2.02;2.07;2.01;2.0554618913234193;567666;1166815.83;21/01/2026;2.06
21/01/2026;2.09;2.06;2.1;2;2.0754255897764122;3765410;7814828.27;20/01/2026;2.09
20/01/2026;2.14;2.09;2.14;2.02;2.086382344131868;794614;1657868.62;19/01/2026;2.15
19/01/2026;2.11;2.15;2.15;2.1;2.1252358079294873;189243;402186;16/01/2026;2.1
16/01/2026;2.06;2.1;2.1;2.05;2.0673425277069732;750894;1552355.1;15/01/2026;2.05
15/01/2026;2.02;2.05;2.05;2.02;2.031182288192339;3160084;6418706.65;14/01/2026;2.02
14/01/2026;2.05;2.02;2.05;2;2.0014060764815444;9853959;19721773.42;13/01/2026;1.99
13/01/2026;1.95;1.99;2;1.92;1.983502840844267;657375;1303905.18;12/01/2026;1.95
