Fecha de cotización;Apertura;Cierre;Máximo;Mínimo;Promedio;Cantidad negociada;Monto negociado (S/);Fecha anterior;Cierre anterior corregido
19/05/2026;33.51;33.51;33.51;33.51;33.65207006369427;942;31700.25;18/05/2026;33.51
18/05/2026;33.56;33.51;33.56;33.51;33.54029161603888;823;27603.66;14/05/2026;33.51
15/05/2026;;;;;33.791881720430105;186;6285.29;14/05/2026;33.51
14/05/2026;33.5;33.51;33.51;33.5;33.54441908713693;482;16168.41;06/05/2026;34.1
13/05/2026;;;;;33.596774193548384;31;1041.5;06/05/2026;34.1
12/05/2026;;;;;34.06367521367521;234;7970.9;06/05/2026;34.1
11/05/2026;;;;;36.91228070175438;57;2104;06/05/2026;34.1
08/05/2026;;;;;33.370588235294115;34;1134.6;06/05/2026;34.1
07/05/2026;;;;;33.25333333333334;21;698.32;06/05/2026;34.1
06/05/2026;34.1;34.1;34.1;34.1;34.1;880;30008;05/05/2026;34.1
05/05/2026;34.1;34.1;34.1;34.1;34.1;2427;82760.7;04/05/2026;34.1
04/05/2026;34.1;34.1;34.1;34.1;33.93791183294663;431;14627.24;22/04/2026;34.1
30/04/2026;;;;;33.587938931297714;131;4400.02;22/04/2026;34.1
29/04/2026;;;;;34.07872340425532;235;8008.5;22/04/2026;34.1
28/04/2026;;34.1;;;34.04474885844749;219;7455.8;22/04/2026;34.1
27/04/2026;;34.1;;;33.990566037735846;106;3603;22/04/2026;34.1
24/04/2026;;;;;33.94505494505494;364;12356;22/04/2026;34.1
23/04/2026;;;;;33.67948717948718;39;1313.5;22/04/2026;34.1
22/04/2026;34.1;34.1;34.1;34.1;34.103583061889246;2456;83758.4;20/04/2026;34
21/04/2026;;;;;34.568075117370896;213;7363;20/04/2026;34
20/04/2026;34.1;34;34.1;34;34.06158974358974;585;19926.03;16/04/2026;34
17/04/2026;;;;;33.820948616600795;253;8556.7;16/04/2026;34
16/04/2026;34;34;34;34;34.018294974166274;2129;72424.95;15/04/2026;34
15/04/2026;33.2;34;34;33.15;33.49996282527881;2152;72091.92;10/04/2026;34.1
14/04/2026;;;;;34.382625189681335;659;22658.15;10/04/2026;34.1
13/04/2026;;;;;34.86204620462046;303;10563.2;10/04/2026;34.1
10/04/2026;35;34.1;35;34.1;34.5152;1750;60401.6;08/04/2026;35.5
09/04/2026;;;;;34.98187050359712;417;14587.44;08/04/2026;35.5
08/04/2026;35.5;35.5;35.5;35.5;35.5;605;21477.5;06/04/2026;35.79
07/04/2026;;;;;35.36721518987342;79;2794.01;06/04/2026;35.79
06/04/2026;35.79;35.79;35.79;35.79;35.44973995271867;423;14995.24;01/04/2026;35.79
01/04/2026;34.1;35.79;35.79;34.1;34.83201913875598;1045;36399.46;27/03/2026;35
31/03/2026;;;;;34.92727272727272;242;8452.4;27/03/2026;35
30/03/2026;;;;;34.877561475409834;488;17020.25;27/03/2026;35
27/03/2026;36;35;36;35;35.17869696969697;1980;69653.82;20/03/2026;37
26/03/2026;;;;;35.82222222222222;270;9672;20/03/2026;37
25/03/2026;;;;;35.5;80;2840;20/03/2026;37
24/03/2026;;;;;36.82824561403509;171;6297.63;20/03/2026;37
23/03/2026;;;;;36.7319587628866;291;10689;20/03/2026;37
20/03/2026;37;37;37;37;36.73241379310345;1015;37283.4;19/03/2026;35.5
19/03/2026;35.5;35.5;35.5;35.5;35.579449541284404;981;34903.44;16/03/2026;35.25
18/03/2026;;;;;35.94110294117647;136;4887.99;16/03/2026;35.25
17/03/2026;;;;;35.83009174311927;109;3905.48;16/03/2026;35.25
16/03/2026;35.25;35.25;35.25;35.25;35.49470198675497;604;21438.8;10/03/2026;35.2
13/03/2026;;;;;35.7;75;2677.5;10/03/2026;35.2
12/03/2026;;;;;36;130;4680;10/03/2026;35.2
11/03/2026;;;;;36.95346405228758;153;5653.88;10/03/2026;35.2
10/03/2026;35.2;35.2;35.2;35.2;35.78015057573074;1129;40395.79;09/03/2026;35.52
09/03/2026;36;35.52;36;35.52;35.94911149825784;1148;41269.58;06/03/2026;35.33
06/03/2026;36.55;35.33;36.55;35.33;35.96633528265107;1026;36901.46;05/03/2026;36.45
05/03/2026;35.21;36.45;36.6;35.21;35.9851461038961;2464;88667.4;02/03/2026;35.65
04/03/2026;;;;;36.43104125736739;509;18543.4;02/03/2026;35.65
03/03/2026;;;;;36.5;335;12227.5;02/03/2026;35.65
02/03/2026;35.65;35.65;35.65;35.65;35.840137362637364;1456;52183.24;27/02/2026;36.4
27/02/2026;36.9;36.4;36.9;36.4;36.82772858916012;2417;89012.62;26/02/2026;37
26/02/2026;37;37;37;36.7;36.917270331325305;2656;98052.27;25/02/2026;37
25/02/2026;37;37;37;37;36.704798927613936;373;13690.89;24/02/2026;38
24/02/2026;38;38;38;38;38.060097087378644;412;15680.76;16/02/2026;38.44
23/02/2026;;;;;37.14752851711027;263;9769.8;16/02/2026;38.44
20/02/2026;;;;;38.43;2;76.86;16/02/2026;38.44
19/02/2026;;;;;37.1975;240;8927.4;16/02/2026;38.44
18/02/2026;;;;;37.08158482142857;448;16612.55;16/02/2026;38.44
17/02/2026;;;;;38.45;128;4921.6;16/02/2026;38.44
16/02/2026;38.44;38.44;38.44;38.44;37.93807121661721;337;12785.13;11/02/2026;37.5
13/02/2026;;;;;37.541836734693874;196;7358.2;11/02/2026;37.5
12/02/2026;;;;;38.12174050632911;316;12046.47;11/02/2026;37.5
11/02/2026;38.4;37.5;38.5;37.5;38.22225;1600;61155.6;10/02/2026;38.5
10/02/2026;38.5;38.5;38.5;38.5;37.377389635316696;521;19473.62;09/02/2026;35.01
09/02/2026;37.5;35.01;39.9;35;37.2938189672099;5093;189937.42;02/02/2026;37.5
06/02/2026;;;;;37.31808641975309;162;6045.53;02/02/2026;37.5
05/02/2026;;;;;37.63122171945702;221;8316.5;02/02/2026;37.5
04/02/2026;;;;;37.51754385964912;57;2138.5;02/02/2026;37.5
03/02/2026;;;;;37.669333333333334;150;5650.4;02/02/2026;37.5
02/02/2026;37.5;37.5;37.5;37.5;37.70628880866426;1385;52223.21;30/01/2026;37.5
30/01/2026;37.5;37.5;37.5;37.5;37.47882352941176;425;15928.5;29/01/2026;37.5
29/01/2026;37.5;37.5;37.5;37.5;37.66854304635761;604;22751.8;28/01/2026;38.2
28/01/2026;38.2;38.2;38.2;37.1;37.76560364464692;878;33158.2;27/01/2026;38.2
27/01/2026;38;38.2;38.2;38;38.04164201183432;1352;51432.3;26/01/2026;38
26/01/2026;38;38;38;37;37.791363415817564;2061;77888;23/01/2026;37.5
23/01/2026;36.7;37.5;37.5;36.7;37.07782582938389;1688;62587.37;22/01/2026;36.3
22/01/2026;35.9;36.3;36.3;35.9;36.08470873786408;824;29733.8;21/01/2026;35.8
21/01/2026;36.4;35.8;36.4;35.8;36.009297124600636;2191;78896.37;20/01/2026;36.8
20/01/2026;36.84;36.8;36.84;36.8;36.77125173852573;719;26438.53;19/01/2026;36.9
19/01/2026;36.9;36.9;36.9;36.9;36.991930116472545;601;22232.15;16/01/2026;36.8
16/01/2026;37;36.8;38.9;36.8;37.89177639751553;4025;152514.4;15/01/2026;36.8
15/01/2026;36.8;36.8;36.8;36.8;36.754425942156004;1141;41936.8;14/01/2026;36.8
14/01/2026;36.7;36.8;36.8;36;36.63293789253315;1433;52495;13/01/2026;36.7
13/01/2026;36.7;36.7;36.7;36.7;36.165151515151514;759;27449.35;12/01/2026;36.6
12/01/2026;36.6;36.6;36.6;36.6;36.41185897435897;1560;56802.5;09/01/2026;35.6
09/01/2026;36.7;35.6;36.7;35;35.94872;3250;116833.34;08/01/2026;36.7
08/01/2026;36.7;36.7;36.7;36.7;36.69728965517241;1450;53211.07;07/01/2026;37
07/01/2026;36.24;37;38;36.24;37.35542235494881;4688;175122.22;06/01/2026;36
06/01/2026;36.25;36;36.25;36;35.9963772557031;2937;105721.36;05/01/2026;36.25
05/01/2026;36.2;36.25;36.25;36.2;36.21943319838057;494;17892.4;02/01/2026;35.8
02/01/2026;35.8;35.8;35.8;35.8;35.67539787798408;754;26899.25;31/12/2025;35.8
01/01/2026;;;;;;;;;35.8
31/12/2025;35.8;35.8;35.8;35.8;35.569138276553105;499;17749;30/12/2025;36
30/12/2025;36;36;36;36;35.9130265095729;1358;48769.89;26/12/2025;36
29/12/2025;;;;;35.87135416666667;384;13774.6;26/12/2025;36
26/12/2025;36;36;36;36;36.02242578456319;1179;42470.44;23/12/2025;35.99
24/12/2025;;;;;36;26;936;23/12/2025;35.99
23/12/2025;34.26;35.99;35.99;33.5;35.084002267573695;1764;61888.18;22/12/2025;35.5
22/12/2025;35.3;35.5;35.5;35.3;35.42992125984252;1143;40496.4;19/12/2025;35.5
19/12/2025;35.5;35.5;36;35.5;35.6044776119403;1005;35782.5;18/12/2025;35.3
18/12/2025;35.3;35.3;35.3;35.3;35.470680628272255;573;20324.7;17/12/2025;35.99
17/12/2025;35.99;35.99;35.99;35.99;35.80384210526316;380;13605.46;16/12/2025;34.62
16/12/2025;34.62;34.62;34.62;34.62;35.013671013039115;997;34908.63;15/12/2025;35.32
15/12/2025;35.32;35.32;35.32;35.32;35.314212893553226;1334;47109.16;12/12/2025;35.32
12/12/2025;35.32;35.32;35.32;35.32;35.450498721227625;782;27722.29;11/12/2025;35.32
11/12/2025;36.9;35.32;36.9;35.32;35.79809595202399;1334;47754.66;10/12/2025;35.74
10/12/2025;35.74;35.74;35.74;35.74;35.78725330620549;983;35178.87;05/12/2025;36
05/12/2025;36;36;36;36;36.18051575931232;349;12627;04/12/2025;36
04/12/2025;34.8;36;36;34.8;35.5603428997391;2683;95408.4;03/12/2025;34.55
03/12/2025;35.7;34.55;35.7;34.55;35.34722222222222;1314;46446.25;02/12/2025;34.51
02/12/2025;34.51;34.51;34.51;34.51;34.98904109589041;657;22987.8;28/11/2025;35.5
