Fecha de cotización;Apertura;Cierre;Máximo;Mínimo;Promedio;Cantidad negociada;Monto negociado (S/);Fecha anterior;Cierre anterior corregido
19/05/2026;1.2;1.2;1.2;1.2;1.1995316737361796;28762;34500.93;18/05/2026;1.2
18/05/2026;1.2;1.2;1.2;1.2;1.2;8148;9777.6;15/05/2026;1.22
15/05/2026;1.22;1.22;1.22;1.22;1.2199094032164899;32893;40126.48;14/05/2026;1.231
14/05/2026;1.2;1.231;1.25;1.162;1.2030495609989649;142027;170865.52;13/05/2026;1.248
13/05/2026;1.25;1.248;1.25;1.24;1.2485831298731984;63485;79266.3;12/05/2026;1.25
12/05/2026;1.25;1.25;1.25;1.25;1.2452036556966475;22759;28339.59;11/05/2026;1.25
11/05/2026;1.25;1.25;1.25;1.25;1.2498579773221852;52386;65475.06;08/05/2026;1.25
08/05/2026;1.25;1.25;1.25;1.25;1.2499495550420374;101695;127113.62;07/05/2026;1.25
07/05/2026;1.25;1.25;1.25;1.25;1.2491472367221808;60345;75379.79;06/05/2026;1.25
06/05/2026;1.25;1.25;1.25;1.25;1.25;128019;160023.75;05/05/2026;1.25
05/05/2026;1.25;1.25;1.25;1.25;1.249735575623209;92465;115556.8;04/05/2026;1.25
04/05/2026;1.25;1.25;1.25;1.25;1.2442957150550042;38997;48523.8;30/04/2026;1.22
30/04/2026;1.22;1.22;1.22;1.22;1.219660760190966;21784;26569.09;29/04/2026;1.23
29/04/2026;1.23;1.23;1.23;1.23;1.23;35000;43050;27/04/2026;1.2
28/04/2026;;1.2;;;1.15;40;46;27/04/2026;1.2
27/04/2026;1.2;1.2;1.2;1.2;1.198543388429752;10648;12762.09;24/04/2026;1.2
24/04/2026;1.2;1.2;1.2;1.2;1.201577583414318;15435;18546.35;22/04/2026;1.25
23/04/2026;;;;;1.242204761904762;2100;2608.63;22/04/2026;1.25
22/04/2026;1.22;1.25;1.25;1.22;1.2294990976391291;108604;133528.52;16/04/2026;1.25
21/04/2026;;;;;1.2267842605156039;1474;1808.28;16/04/2026;1.25
20/04/2026;;;;;1.233987049028677;5405;6669.7;16/04/2026;1.25
17/04/2026;;;;;1.2331716637272192;6804;8390.5;16/04/2026;1.25
16/04/2026;1.25;1.25;1.26;1.25;1.2522773942372913;215246;269547.7;15/04/2026;1.18
15/04/2026;1.18;1.18;1.18;1.18;1.1849907212668565;16166;19156.56;14/04/2026;1.25
14/04/2026;1.26;1.25;1.26;1.25;1.2507153644859812;66875;83641.59;13/04/2026;1.25
13/04/2026;1.25;1.25;1.29;1.25;1.2739248056019217;49126;62582.83;09/04/2026;1.26
10/04/2026;;;;;1.2932432432432432;740;957;09/04/2026;1.26
09/04/2026;1.3;1.3;1.3;1.3;1.3000940630057938;42631;55424.31;08/04/2026;1.3
08/04/2026;1.31;1.3;1.33;1.3;1.3100460344155145;1446092;1894447.09;07/04/2026;1.3
07/04/2026;1.3;1.3;1.3;1.3;1.2985774743056295;28119;36514.7;06/04/2026;1.3
06/04/2026;1.33;1.3;1.33;1.3;1.3209835123054954;53919;71226.11;01/04/2026;1.3
01/04/2026;1.28;1.3;1.3;1.28;1.2878318457726565;108567;139816.04;31/03/2026;1.22
31/03/2026;1.32;1.22;1.32;1.22;1.2761684359244816;103339;131877.97;30/03/2026;1.35
30/03/2026;1.35;1.35;1.35;1.35;1.3441540360743434;14581;19599.11;27/03/2026;1.35
27/03/2026;1.35;1.35;1.35;1.35;1.3484478002329527;48937;65988.99;26/03/2026;1.35
26/03/2026;1.36;1.35;1.36;1.35;1.351807094459944;25090;33916.84;25/03/2026;1.35
25/03/2026;1.35;1.35;1.35;1.35;1.3498739596418774;238019;321295.65;24/03/2026;1.35
24/03/2026;1.35;1.35;1.35;1.35;1.3503362977423494;110646;149409.31;23/03/2026;1.3
23/03/2026;1.3;1.3;1.3;1.3;1.3;91815;119359.5;20/03/2026;1.3
20/03/2026;1.25;1.3;1.3;1.25;1.2728440844084408;49995;63635.84;19/03/2026;1.25
19/03/2026;1.2;1.25;1.25;1.2;1.2321856680599783;116509;143560.72;18/03/2026;1.28
18/03/2026;1.28;1.28;1.28;1.28;1.2755149617258177;17244;21994.98;17/03/2026;1.3
17/03/2026;1.3;1.3;1.3;1.3;1.3;33062;42980.6;16/03/2026;1.3
16/03/2026;1.3;1.3;1.3;1.3;1.3011827840506647;120005;156148.44;12/03/2026;1.35
13/03/2026;;;;;1.3476397966594045;5508;7422.8;12/03/2026;1.35
12/03/2026;1.37;1.35;1.37;1.35;1.3657786977698843;314737;429861.09;11/03/2026;1.37
11/03/2026;1.37;1.37;1.37;1.37;1.3695550211894671;126006;172572.15;10/03/2026;1.36
10/03/2026;1.41;1.36;1.41;1.36;1.3984456828765555;261980;366364.8;09/03/2026;1.41
09/03/2026;1.41;1.41;1.41;1.41;1.4099813449409255;11257;15872.16;06/03/2026;1.4
06/03/2026;1.4;1.4;1.4;1.4;1.3981296110488106;16943;23688.51;05/03/2026;1.4
05/03/2026;1.4;1.4;1.4;1.4;1.404279596386249;51138;71812.05;04/03/2026;1.45
04/03/2026;1.46;1.45;1.46;1.45;1.4516258512760543;29074;42204.57;03/03/2026;1.44
03/03/2026;1.44;1.44;1.44;1.44;1.4273038993938296;11053;15775.99;27/02/2026;1.47
02/03/2026;;;;;1.4728358606012237;3759;5536.39;27/02/2026;1.47
27/02/2026;1.45;1.47;1.49;1.45;1.4709227443512276;97145;142892.79;26/02/2026;1.46
26/02/2026;1.46;1.46;1.48;1.46;1.4683410458561852;105024;154211.05;25/02/2026;1.45
25/02/2026;1.5;1.45;1.5;1.45;1.4694048640915593;104850;154067.1;24/02/2026;1.5
24/02/2026;1.45;1.5;1.5;1.45;1.4556707962398057;80315;116912.2;23/02/2026;1.45
23/02/2026;1.5;1.45;1.5;1.45;1.471239998525128;27121;39901.5;20/02/2026;1.49
20/02/2026;1.49;1.49;1.49;1.49;1.484312090378191;39213;58204.33;19/02/2026;1.46
19/02/2026;1.46;1.46;1.46;1.46;1.4599600399600399;35035;51149.7;18/02/2026;1.46
18/02/2026;1.49;1.46;1.49;1.46;1.4728592080128038;58107;85583.43;17/02/2026;1.49
17/02/2026;1.5;1.49;1.5;1.49;1.4947235306712343;37364;55848.85;16/02/2026;1.48
16/02/2026;1.48;1.48;1.48;1.48;1.48620454303082;18754;27872.28;13/02/2026;1.5
13/02/2026;1.48;1.5;1.5;1.48;1.497235815602837;90240;135110.56;12/02/2026;1.48
12/02/2026;1.48;1.48;1.48;1.48;1.48;10000;14800;11/02/2026;1.49
11/02/2026;1.5;1.49;1.5;1.49;1.496001686303224;135207;202269.9;10/02/2026;1.5
10/02/2026;1.5;1.5;1.5;1.5;1.4998506637168143;235040;352524.9;09/02/2026;1.5
09/02/2026;1.47;1.5;1.59;1.47;1.512913316873013;562970;851724.81;04/02/2026;1.43
06/02/2026;;;;;1.4011050394656952;8235;11538.1;04/02/2026;1.43
05/02/2026;;;;;1.3986613309944085;9121;12757.19;04/02/2026;1.43
04/02/2026;1.43;1.43;1.43;1.43;1.4309518053754697;91006;130225.2;03/02/2026;1.45
03/02/2026;1.36;1.45;1.45;1.35;1.4085684777421774;146690;206622.91;02/02/2026;1.35
02/02/2026;1.36;1.35;1.4;1.26;1.349915583812883;215480;290879.81;30/01/2026;1.39
30/01/2026;1.48;1.39;1.48;1.35;1.4012854161880695;104472;146395.09;29/01/2026;1.47
29/01/2026;1.6;1.47;1.6;1.45;1.4760280886896935;755037;1114455.82;28/01/2026;1.6
