Fecha de cotización;Apertura;Cierre;Máximo;Mínimo;Promedio;Cantidad negociada;Monto negociado (S/);Fecha anterior;Cierre anterior corregido
19/05/2026;5.71;5.613;5.71;5.51;5.656665478928445;30871;174626.92;18/05/2026;5.713
18/05/2026;5.78;5.713;5.78;5.71;5.734492409542289;87610;502398.88;15/05/2026;5.713
15/05/2026;5.71;5.713;5.71;5.7;5.713664457916255;35465;202635.11;14/05/2026;5.783
14/05/2026;5.6;5.783;5.8;5.6;5.708441373490163;37918;216452.68;13/05/2026;5.641
13/05/2026;5.6;5.641;5.6;5.59;5.633207878052071;37065;208794.85;12/05/2026;5.606
12/05/2026;5.8;5.606;5.8;5.6;5.614774950529364;178894;1004449.55;11/05/2026;5.842
11/05/2026;5.89;5.842;5.89;5.6;5.827849332447291;33106;192936.78;08/05/2026;5.894
08/05/2026;5.8;5.894;5.96;5.8;5.892949602585379;22898;134936.76;07/05/2026;5.7
07/05/2026;5.7;5.7;5.7;5.7;5.699747343508887;125071;712873.1;06/05/2026;5.7
06/05/2026;5.64;5.7;5.7;5.64;5.674895534729878;36280;205885.21;05/05/2026;5.618
05/05/2026;5.7;5.618;5.7;5.6;5.635886705711946;31758;178984.49;04/05/2026;5.611
04/05/2026;5.6;5.611;5.8;5.6;5.6828631838391646;41384;235179.61;30/04/2026;5.61
30/04/2026;5.6;5.61;5.65;5.58;5.608436693329011;345556;1938028.95;29/04/2026;5.579
29/04/2026;5.74;5.579;5.74;5.56;5.638779464854534;75344;424848.2;28/04/2026;5.763
28/04/2026;5.85;5.763;5.85;4.599;5.549578382743108;130035;721639.425;27/04/2026;5.822
27/04/2026;6.12;5.822;6.12;5.85;5.9883759722139756;33686;201724.433;24/04/2026;6.14
24/04/2026;6.14;6.14;6.14;6.14;6.104103867403316;13575;82863.21;23/04/2026;6.14
23/04/2026;6.2;6.14;6.2;6.12;6.165543331440988;51083;314954.45;22/04/2026;6.19
22/04/2026;6.19;6.19;6.19;6.19;6.1969689454388615;9274;57470.69;21/04/2026;6.2
21/04/2026;6.21;6.2;6.21;6.2;6.194006882242801;19761;122399.77;20/04/2026;6.22
20/04/2026;6.24;6.22;6.24;6.2;6.207800287127133;25076;155666.8;17/04/2026;6.24
17/04/2026;6.63;6.66;6.7;6.6;6.636052181235399;73628;488599.25;16/04/2026;6.61
16/04/2026;6.57;6.61;6.63;6.57;6.610420439627024;29707;196375.76;15/04/2026;6.5
15/04/2026;6.65;6.5;6.65;6.3;6.576656608410705;73240;481674.33;14/04/2026;6.74
14/04/2026;6.77;6.74;6.77;6.7;6.738466605453311;50098;337583.7;13/04/2026;6.7
13/04/2026;6.85;6.7;6.85;6.7;6.740299627941791;45423;306164.63;10/04/2026;6.7
10/04/2026;6.68;6.7;6.7;6.68;6.685061897167161;13167;88022.21;09/04/2026;6.69
09/04/2026;6.7;6.69;6.7;6.69;6.697715938254108;26107;174857.27;08/04/2026;6.7
08/04/2026;6.7;6.7;6.7;6.68;6.695496074486835;56171;376092.71;07/04/2026;6.69
07/04/2026;6.65;6.69;6.7;6.65;6.675678247598528;33417;223081.14;06/04/2026;6.65
06/04/2026;6.4;6.65;7;6.4;6.60506243559435;65988;435854.86;01/04/2026;6.38
01/04/2026;6.26;6.38;6.38;6.26;6.359701722218585;30542;194238.01;31/03/2026;6.3
31/03/2026;6.25;6.3;6.35;6.21;6.269614343908893;33631;210853.4;30/03/2026;6.25
30/03/2026;6.21;6.25;6.25;6.2;6.229237258702399;89257;556003.03;27/03/2026;6.21
27/03/2026;6.25;6.21;6.25;6.21;6.237180643838426;14631;91256.19;26/03/2026;6.25
26/03/2026;6.25;6.25;6.25;6.21;6.2499010437676485;79328;495792.15;25/03/2026;6.25
25/03/2026;6.23;6.25;6.27;6.23;6.2557528380647245;64921;406129.73;24/03/2026;6.25
24/03/2026;6.25;6.25;6.25;6.25;6.247108796047685;9311;58166.83;23/03/2026;6.25
23/03/2026;6.25;6.25;6.25;6.23;6.241205802357207;23163;144565.05;20/03/2026;6.23
20/03/2026;6.25;6.23;6.25;6.23;6.2396363105236246;13693;85439.34;19/03/2026;6.25
19/03/2026;6.21;6.25;6.25;6.2;6.229820211636588;58402;363833.96;18/03/2026;6.2
18/03/2026;6.21;6.2;6.21;6.2;6.215689074865824;10993;68329.07;17/03/2026;6.2
17/03/2026;6.23;6.2;6.23;6.19;6.200611520998866;28192;174807.64;16/03/2026;6.23
16/03/2026;6.23;6.23;6.23;6.22;6.226950572891272;32816;204343.61;13/03/2026;6.23
13/03/2026;6.24;6.23;6.24;6.23;6.232137346774574;21129;131678.83;12/03/2026;6.15
12/03/2026;6.15;6.15;6.15;6.15;6.167533535611626;12524;77242.19;11/03/2026;6.2
11/03/2026;6.15;6.2;6.2;6.15;6.192012562241676;30727;190261.97;10/03/2026;6.15
10/03/2026;6.05;6.15;6.15;6.05;6.081603635377102;36860;224167.91;09/03/2026;6.03
09/03/2026;6.2;6.03;6.2;5.97;5.995795912473009;145418;871896.65;06/03/2026;6.2
06/03/2026;6.2;6.2;6.2;6.2;6.192564039332943;32441;200892.97;05/03/2026;6.19
05/03/2026;6.28;6.19;6.28;6.19;6.205340957093718;33142;205657.41;04/03/2026;6.27
04/03/2026;6.26;6.27;6.27;6.24;6.255289423304438;46489;290802.15;03/03/2026;6.25
03/03/2026;6.22;6.25;6.25;6.22;6.239114487466953;29881;186430.98;02/03/2026;6.24
02/03/2026;6.25;6.24;6.25;6.19;6.217834295587677;47458;295085.98;27/02/2026;6.25
27/02/2026;6.3;6.25;6.3;6.2;6.246192878766037;104055;649947.6;26/02/2026;6.22
26/02/2026;6.24;6.22;6.24;6.22;6.230351471100712;20087;125149.07;25/02/2026;6.24
25/02/2026;6.25;6.24;6.25;6.24;6.239899152074657;19931;124367.43;24/02/2026;6.24
24/02/2026;6.24;6.24;6.25;6.23;6.240603292922674;24416;152370.57;23/02/2026;6.24
23/02/2026;6.22;6.24;6.25;6.21;6.240199475065617;22860;142650.96;20/02/2026;6.21
20/02/2026;6.29;6.21;6.29;6.19;6.233896076426833;56734;353673.86;19/02/2026;6.28
19/02/2026;6.3;6.28;6.3;6.22;6.260584947183098;22720;142240.49;18/02/2026;6.3
18/02/2026;6.3;6.3;6.3;6.3;6.31402665710358;16731;105639.98;17/02/2026;6.26
17/02/2026;6.25;6.26;6.4;6.25;6.3492411955514365;17264;109613.3;16/02/2026;6.45
16/02/2026;6.45;6.45;6.45;6.45;6.412412997903564;9540;61174.42;13/02/2026;6.5
13/02/2026;6.52;6.5;6.52;6.5;6.510226615613034;12797;83311.37;12/02/2026;6.52
12/02/2026;6.55;6.52;6.55;6.52;6.53642441276852;9962;65115.86;11/02/2026;6.55
11/02/2026;6.55;6.55;6.55;6.54;6.542184142740466;31834;208263.89;10/02/2026;6.54
10/02/2026;6.56;6.54;6.56;6.54;6.5351720068984305;22034;143995.98;09/02/2026;6.56
09/02/2026;6.3;6.56;6.6;6.3;6.480576665746268;47081;305112.03;06/02/2026;6.27
06/02/2026;6.38;6.27;6.4;6.27;6.357113941548183;20256;128769.7;05/02/2026;6.2
05/02/2026;6.15;6.2;6.2;6.15;6.186311436297121;18861;116680.02;04/02/2026;6.12
04/02/2026;6.2;6.12;6.2;6.1;6.154072342966945;38511;236999.48;03/02/2026;6.05
03/02/2026;6.06;6.05;6.1;6.05;6.062874876315553;55585;337004.9;02/02/2026;6.05
02/02/2026;6.15;6.05;6.15;6;6.059253418155778;60047;363839.99;30/01/2026;6.15
30/01/2026;6.25;6.15;6.25;6.02;6.1715509821118975;49027;302572.63;29/01/2026;6.23
29/01/2026;6.25;6.23;6.25;6.23;6.233786460139482;25953;161785.46;28/01/2026;6.22
28/01/2026;6.23;6.22;6.25;6.16;6.220444940986677;107857;670918.53;27/01/2026;6.15
27/01/2026;6.2;6.15;6.2;6.1;6.173368363228164;83738;516945.52;26/01/2026;6.2
26/01/2026;6.23;6.2;6.3;6.15;6.218480143641741;56808;353259.42;23/01/2026;6.2
23/01/2026;6.3;6.2;6.3;6.2;6.233581297302789;39374;245441.03;22/01/2026;6.25
22/01/2026;6.35;6.25;6.35;6.25;6.3151832380846695;72092;455274.19;21/01/2026;6.25
21/01/2026;6.45;6.25;6.45;6.25;6.37057624720939;45241;288211.24;20/01/2026;6.45
20/01/2026;6.4;6.45;6.5;6.3;6.401756883002693;109182;698956.62;19/01/2026;6.4
19/01/2026;6.25;6.4;6.4;6.25;6.2822459492579314;44066;276833.45;16/01/2026;6.1
16/01/2026;5.95;6.1;6.1;5.9;5.981988277032238;64830;387812.3;15/01/2026;5.9
15/01/2026;5.89;5.9;5.9;5.89;5.902557637858973;51919;306454.89;14/01/2026;5.89
14/01/2026;5.81;5.89;5.89;5.81;5.823265019916563;84854;494127.33;13/01/2026;5.81
13/01/2026;5.89;5.81;5.9;5.81;5.860829713666958;81269;476303.77;12/01/2026;5.81
12/01/2026;5.89;5.81;5.89;5.81;5.855101985863345;29710;173955.08;09/01/2026;5.8
09/01/2026;5.87;5.8;5.9;5.76;5.859132349383015;61995;363236.91;08/01/2026;5.86
08/01/2026;5.73;5.86;5.96;5.71;5.808470262302126;134997;784126.06;07/01/2026;5.73
07/01/2026;5.83;5.73;5.89;5.7;5.745312166550239;130267;748424.58;06/01/2026;5.7
06/01/2026;5.8;5.7;5.8;5.68;5.715638041092319;118903;679606.51;05/01/2026;5.68
05/01/2026;5.7;5.68;5.8;5.68;5.698928184953897;177428;1011149.43;02/01/2026;5.7
02/01/2026;5.63;5.7;5.8;5.63;5.687720808935689;60969;346774.65;31/12/2025;5.63
01/01/2026;;;;;;;;;5.63
31/12/2025;5.78;5.63;5.8;5.63;5.756335341365462;17928;103199.58;30/12/2025;5.6
30/12/2025;5.6;5.6;5.73;5.55;5.592756529731662;78334;438102.99;29/12/2025;5.55
29/12/2025;5.5;5.55;5.55;5.43;5.513473434734347;33333;183780.61;26/12/2025;5.35
26/12/2025;5.39;5.35;5.5;5.35;5.428361439718097;23838;129401.28;24/12/2025;5.3
24/12/2025;5.3;5.3;5.3;5.3;5.293639657152956;11317;59908.12;23/12/2025;5.18
23/12/2025;5.2;5.18;5.25;5.18;5.201084238129294;46143;239993.63;22/12/2025;5.18
22/12/2025;5.1;5.18;5.2;5.1;5.1772424892703865;13980;72377.85;19/12/2025;5.1
19/12/2025;5;5.1;5.1;5;5.065079916349242;80334;406898.13;18/12/2025;5
18/12/2025;5;5;5.05;5;5.015177138760993;36271;181905.49;17/12/2025;5.05
17/12/2025;5.15;5.05;5.2;5.05;5.091147540983607;28853;146894.88;16/12/2025;5.15
16/12/2025;5.11;5.15;5.15;5.11;5.138114932242393;15644;80380.67;15/12/2025;5.04
15/12/2025;5.1;5.04;5.11;5.04;5.096805125254492;45188;230314.43;12/12/2025;5.04
12/12/2025;5;5.04;5.1;5;5.043381685381754;29299;147766.04;11/12/2025;4.96
11/12/2025;4.96;4.96;4.99;4.96;4.959311873800895;23455;116320.66;10/12/2025;4.9
10/12/2025;4.9;4.9;4.9;4.87;4.904642753832803;24199;118687.45;05/12/2025;4.95
05/12/2025;4.96;4.95;4.96;4.95;4.959524602492479;18616;92326.51;04/12/2025;4.95
04/12/2025;4.96;4.95;4.96;4.95;4.958633676196647;24694;122448.5;03/12/2025;4.95
03/12/2025;4.95;4.95;4.95;4.95;4.9510259310121985;12379;61288.75;02/12/2025;4.96
02/12/2025;5;4.96;5;4.95;4.980551577317593;36169;180141.57;01/12/2025;4.95
01/12/2025;4.99;4.95;5;4.95;4.977553256470948;26194;130382.03;28/11/2025;4.8
28/11/2025;4.8;4.8;4.8;4.8;4.8441673202614375;19125;92644.7;27/11/2025;4.78
27/11/2025;4.78;4.78;4.78;4.78;4.817678150600382;8911;42930.33;26/11/2025;4.78
26/11/2025;4.73;4.78;4.78;4.73;4.753906576365593;15799;75106.97;25/11/2025;4.74
25/11/2025;4.71;4.74;4.75;4.71;4.737831593359576;11686;55366.3;24/11/2025;4.72
24/11/2025;4.71;4.72;4.72;4.71;4.719570835363166;43107;203446.54;21/11/2025;4.7
21/11/2025;4.7;4.7;4.7;4.69;4.696941004655125;32867;154374.36;20/11/2025;4.68
20/11/2025;4.68;4.68;4.7;4.68;4.6891891891891895;18463;86576.5;19/11/2025;4.66
19/11/2025;4.66;4.66;4.66;4.66;4.659079306313328;20528;95641.58;18/11/2025;4.63
18/11/2025;4.7;4.63;4.7;4.63;4.659274655963303;34880;162515.5;17/11/2025;4.68
17/11/2025;4.68;4.68;4.68;4.68;4.702308603718556;10972;51593.73;14/11/2025;4.71
14/11/2025;4.62;4.71;4.71;4.62;4.686826010983524;8012;37550.85;13/11/2025;4.68
13/11/2025;4.68;4.68;4.68;4.68;4.678260051095872;7437;34792.22;11/11/2025;4.7
12/11/2025;;;;;4.696045745299477;5159;24226.9;11/11/2025;4.7
11/11/2025;4.65;4.7;4.7;4.65;4.679481126275667;8133;38058.22;10/11/2025;4.6
10/11/2025;4.6;4.6;4.6;4.6;4.622689308612026;5771;26677.54;07/11/2025;4.58
07/11/2025;4.6;4.58;4.6;4.58;4.593509715592012;14873;68319.27;06/11/2025;4.6
06/11/2025;4.58;4.6;4.6;4.58;4.588799562533598;53947;247551.97;05/11/2025;4.6
05/11/2025;4.6;4.6;4.6;4.58;4.594207254806198;22523;103475.33;04/11/2025;4.6
04/11/2025;4.61;4.6;4.61;4.6;4.606475064669434;33246;153146.87;03/11/2025;4.62
03/11/2025;4.62;4.62;4.62;4.62;4.619442458899214;13990;64626;31/10/2025;4.62
31/10/2025;4.65;4.62;4.65;4.62;4.638020736900574;10802;50099.9;30/10/2025;4.6
30/10/2025;4.65;4.6;4.65;4.6;4.6266249871535745;29191;135055.81;29/10/2025;4.65
29/10/2025;4.65;4.65;4.68;4.65;4.666593676564837;46810;218443.25;28/10/2025;4.67
28/10/2025;4.68;4.67;4.68;4.67;4.672065781881131;10398;48580.14;27/10/2025;4.68
27/10/2025;4.69;4.68;4.7;4.68;4.689323023138684;33753;158278.72;24/10/2025;4.7
24/10/2025;4.7;4.7;4.7;4.7;4.7006218857595;46761;219805.78;23/10/2025;4.7
23/10/2025;4.69;4.7;4.7;4.69;4.691471894738815;53353;250304.1;22/10/2025;4.69
22/10/2025;4.65;4.69;4.69;4.65;4.678604931229005;15777;73814.35;21/10/2025;4.65
21/10/2025;4.65;4.65;4.68;4.65;4.655789817821068;44352;206493.59;20/10/2025;4.67
20/10/2025;4.7;4.67;4.7;4.67;4.692144364209088;67302;315790.7;17/10/2025;4.67
17/10/2025;4.7;4.67;4.7;4.67;4.695112044817927;14280;67046.2;16/10/2025;4.7
16/10/2025;4.7;4.7;4.72;4.7;4.714629796433075;16653;78512.73;15/10/2025;4.7
15/10/2025;4.7;4.7;4.7;4.7;4.699528369988931;20779;97651.5;14/10/2025;4.7
14/10/2025;4.65;4.7;4.7;4.65;4.673144710860367;17725;82831.49;13/10/2025;4.65
13/10/2025;4.65;4.65;4.7;4.65;4.666990756302521;23800;111074.38;10/10/2025;4.65
10/10/2025;4.65;4.65;4.65;4.65;4.667855787476281;11594;54119.12;09/10/2025;4.71
09/10/2025;4.71;4.71;4.72;4.71;4.712191517469832;101432;477967.01;07/10/2025;4.71
07/10/2025;4.71;4.71;4.75;4.71;4.732282513005202;12495;59129.87;06/10/2025;4.7
06/10/2025;4.7;4.7;4.75;4.7;4.702210928409914;45551;214190.41;03/10/2025;4.7
03/10/2025;4.7;4.7;4.7;4.7;4.699660212300635;18747;88104.53;02/10/2025;4.65
02/10/2025;4.65;4.65;4.65;4.65;4.6698394448601945;14699;68641.97;01/10/2025;4.7
01/10/2025;4.7;4.7;4.7;4.68;4.688039540131085;46535;218157.92;30/09/2025;4.68
30/09/2025;4.65;4.68;4.68;4.65;4.653171526280816;61699;287096.03;29/09/2025;4.65
29/09/2025;4.67;4.65;4.68;4.65;4.664403600643461;29217;136279.88;26/09/2025;4.69
26/09/2025;4.66;4.69;4.69;4.65;4.66341477873141;38799;180935.83;25/09/2025;4.67
25/09/2025;4.67;4.67;4.67;4.67;4.674753108733372;27664;129322.37;24/09/2025;4.7
24/09/2025;4.67;4.7;4.7;4.67;4.680276158530628;30707;143717.24;23/09/2025;4.66
23/09/2025;4.66;4.66;4.66;4.66;4.6655771472988725;15438;72027.18;22/09/2025;4.67
22/09/2025;4.65;4.67;4.67;4.65;4.661170946486853;32478;151385.51;19/09/2025;4.67
19/09/2025;4.65;4.67;4.7;4.65;4.671298156282349;35743;166966.21;18/09/2025;4.65
18/09/2025;4.67;4.65;4.67;4.65;4.659035603486482;33845;157685.06;17/09/2025;4.62
17/09/2025;4.7;4.62;4.75;4.62;4.733309127677176;21758;102987.34;16/09/2025;4.7
16/09/2025;4.65;4.7;4.7;4.61;4.615057690507917;224387;1035558.95;15/09/2025;4.67
15/09/2025;4.66;4.67;4.67;4.66;4.663444670250426;61016;284544.74;12/09/2025;4.7
12/09/2025;4.7;4.7;4.7;4.7;4.672855129533679;24125;112732.63;11/09/2025;4.7
11/09/2025;4.7;4.7;4.7;4.7;4.691410485172912;11769;55213.21;10/09/2025;4.7
10/09/2025;4.75;4.7;4.75;4.7;4.700722707089266;13062;61400.84;08/09/2025;4.75
09/09/2025;;;;;4.700780893381154;6134;28834.59;08/09/2025;4.75
08/09/2025;4.75;4.75;4.75;4.69;4.7414805174744155;129475;613903.19;05/09/2025;4.69
05/09/2025;4.79;4.69;4.79;4.69;4.7050470684807095;57257;269396.88;04/09/2025;4.79
04/09/2025;4.65;4.79;4.79;4.64;4.6564452182848335;70069;326272.46;03/09/2025;4.64
03/09/2025;4.64;4.64;4.64;4.63;4.640598090868826;302546;1403994.39;02/09/2025;4.63
02/09/2025;4.64;4.63;4.65;4.63;4.649686553217998;35317;164212.98;01/09/2025;4.64
01/09/2025;4.68;4.64;4.68;4.6;4.647820173942701;23456;109019.27;29/08/2025;4.68
