Fecha de cotización;Apertura;Cierre;Máximo;Mínimo;Promedio;Cantidad negociada;Monto negociado ($);Fecha anterior;Cierre anterior corregido
19/05/2026;57;55.45;57;55.45;56.61268656716418;134;7586.1;18/05/2026;56.8
18/05/2026;56;56.8;56.8;55;56.313559322033896;2006;112965;15/05/2026;56.51
15/05/2026;56.1;56.51;56.92;56.1;56.507804007463285;12327;696571.7;14/05/2026;56.2
14/05/2026;56;56.2;56.35;56;56.033621017092216;4739;265543.33;13/05/2026;56.92
13/05/2026;57.5;56.92;57.5;57;57.00911161731207;439;25027;12/05/2026;56
12/05/2026;54;56;56.5;54;55.91144625125917;34745;1942643.2;11/05/2026;54.5
11/05/2026;53.1;54.5;54.5;53;54.07701927194861;2335;126269.84;08/05/2026;52.5
08/05/2026;54.38;52.5;54.38;52.5;52.500665161792845;2027191;106428875.91;07/05/2026;54
07/05/2026;54.38;54;54.38;54;54.128796992481206;133;7199.13;06/05/2026;52.5
06/05/2026;54.38;52.5;54.38;52.5;53.154144736842106;152;8079.43;05/05/2026;51.97
05/05/2026;52;51.97;53;51;51.982426778242676;1195;62119;04/05/2026;52.8
04/05/2026;53;52.8;53;52.1;52.32671786833856;3190;166922.23;30/04/2026;52.5
30/04/2026;53;52.5;53.2;52.5;52.73104665651391;7223;380876.35;29/04/2026;53.2
29/04/2026;53.99;53.2;53.99;53.2;53.31577922077921;154;8210.63;28/04/2026;53
28/04/2026;53;53;53;53;53.17907949790795;239;12709.8;27/04/2026;53.59
27/04/2026;55;53.59;55;53;54.1063122923588;602;32572;23/04/2026;55
24/04/2026;;;;;55;18;990;23/04/2026;55
23/04/2026;52.3;55;55;52.3;52.828859060402685;447;23614.5;22/04/2026;52.3
22/04/2026;52.5;52.3;52.5;52.3;52.41169680646402;2599;136218;21/04/2026;52
21/04/2026;52.5;52;52.6;52;52.47136672850959;1617;84846.2;20/04/2026;52.6
20/04/2026;53;52.6;53;52.6;52.83810289389068;2488;131461.2;16/04/2026;55
17/04/2026;;;;;54.12826086956522;46;2489.9;16/04/2026;55
16/04/2026;55;55;55;55;55;158;8690;15/04/2026;53
15/04/2026;53.5;53;54;51.05;52.71369828456105;3964;208957.1;14/04/2026;55
14/04/2026;55;55;55;55;55.00063104189044;7448;409644.7;13/04/2026;55.5
13/04/2026;56.8;55.5;56.8;53;55.3930790960452;708;39218.3;10/04/2026;55.1
10/04/2026;55.1;55.1;55.1;55.1;55.178000000000004;150;8276.7;09/04/2026;57.04
09/04/2026;57.9;57.9;57.9;57.9;57.820588235294125;578;33420.3;08/04/2026;58
08/04/2026;55.75;58;58;55.75;55.82816735415439;1697;94740.4;07/04/2026;55.75
07/04/2026;54;55.75;55.8;54;55.553714285714285;350;19443.8;06/04/2026;55.8
06/04/2026;53.4;55.8;56;53.4;55.62032032032032;999;55564.7;01/04/2026;53
01/04/2026;52.2;53;53;52.2;52.56270853778214;1019;53561.4;31/03/2026;51.35
31/03/2026;51.6;51.35;51.6;51.35;51.3702385659681;15174;779492;30/03/2026;51.5
30/03/2026;51.5;51.5;51.5;51.5;51.5;371;19106.5;27/03/2026;51.5
27/03/2026;52.1;51.5;52.1;51.5;51.93326403326404;481;24979.9;26/03/2026;52.1
26/03/2026;53;52.1;53;51;51.87788215200683;2342;121498;25/03/2026;52.1
25/03/2026;52;52.1;52.1;51.9;52.006281782829795;3343;173857;24/03/2026;51
24/03/2026;48.5;51;51;48.5;50.343023255813954;1720;86590;23/03/2026;48.5
23/03/2026;48.5;48.5;48.5;48;48.07085655579812;15574;748655.52;20/03/2026;48.5
20/03/2026;49.5;48.5;49.5;48.1;48.82821701936065;8884;433789.88;19/03/2026;49.29
19/03/2026;51;49.29;51;49.29;50.62429485470541;3751;189891.73;18/03/2026;52.2
18/03/2026;55.2;52.2;55.2;52.2;54.45624390243903;410;22327.06;17/03/2026;56.41
17/03/2026;55.5;56.41;56.41;55.3;55.734640998959414;961;53560.99;16/03/2026;55.5
16/03/2026;56;55.5;56;55.5;55.73509920634921;504;28090.49;13/03/2026;55.59
13/03/2026;55.59;55.59;55.59;55.59;55.88732142857143;56;3129.69;12/03/2026;56.1
12/03/2026;58.5;56.1;58.5;56;57.14648633575013;3586;204927.3;11/03/2026;58.5
11/03/2026;61;58.5;61;58.5;59.464285714285715;350;20812.5;10/03/2026;58.5
10/03/2026;58;58.5;58.5;58;58.375787234042555;2350;137183.1;09/03/2026;58
09/03/2026;58;58;58;56.5;56.57928542753914;19928;1127512;06/03/2026;58
06/03/2026;58.75;58;58.75;58;58.656930693069306;505;29621.75;05/03/2026;59
05/03/2026;60.8;59;60.8;59;59.72349726775956;732;43717.6;04/03/2026;60.9
04/03/2026;60;60.9;61;60;60.44972489683631;1454;87893.9;03/03/2026;61
03/03/2026;60;61;61;60;60.60753323485968;1354;82062.6;27/02/2026;62
02/03/2026;;;;;63.31972972972973;74;4685.66;27/02/2026;62
27/02/2026;60;62;62;60;61.72615210652031;39354;2429170.99;26/02/2026;60
26/02/2026;59;60;60;59;59.67804090419806;2787;166322.7;25/02/2026;59.8
25/02/2026;59.8;59.8;60;59.8;59.97959239878821;3631;217785.9;24/02/2026;59.8
24/02/2026;58;59.8;59.8;57.8;58.1358138238573;1794;104295.65;23/02/2026;57.8
23/02/2026;57.8;57.8;57.8;57.8;57.8537037037037;864;49985.6;20/02/2026;57.4
20/02/2026;57.4;57.4;57.5;57.4;57.40690426758939;4335;248858.93;19/02/2026;58
19/02/2026;56.8;58;58;56.75;57.02098912877048;6531;372404.08;18/02/2026;57.35
18/02/2026;57.35;57.35;57.35;57.35;57.35;1757;100763.95;17/02/2026;57.4
17/02/2026;57.4;57.4;57.4;57.4;57.40702341137124;299;17164.7;16/02/2026;57.4
16/02/2026;57.5;57.4;57.5;57.4;57.43423913043478;552;31703.7;13/02/2026;57.4
13/02/2026;57.49;57.4;57.49;57.4;57.400159574468084;564;32373.69;12/02/2026;57.5
12/02/2026;57.5;57.5;57.5;57.49;57.491;1160;66689.56;11/02/2026;57.5
11/02/2026;57.5;57.5;57.5;57;57.431498194945846;1108;63634.1;10/02/2026;57.5
10/02/2026;58;57.5;58;57;57.374932855863925;1117;64087.8;09/02/2026;58
09/02/2026;58.5;58;58.9;58;58.81060726334591;10078;592693.3;06/02/2026;57.03
06/02/2026;57.8;57.03;59.7;57.03;58.598502473997776;9903;580300.97;05/02/2026;57.8
05/02/2026;57.4;57.8;57.8;56.8;57.192275747508305;1204;68859.5;04/02/2026;57.9
04/02/2026;57;57.9;57.9;57;57.09797281182924;4193;239411.8;03/02/2026;57.6
03/02/2026;56.5;57.6;58.5;56.4;57.1642316017316;1848;105639.5;02/02/2026;56.9
02/02/2026;58;56.9;58;56.9;57.22002395209581;835;47778.72;30/01/2026;58.14
30/01/2026;58;58.14;58.14;54;56.58861158226315;8254;467082.4;29/01/2026;60
29/01/2026;59.8;60;60;58;59.614572333685324;3788;225820;28/01/2026;59
28/01/2026;60;59;60;59;59.78851931330472;4660;278614.5;27/01/2026;58
27/01/2026;58;58;58;57;57.98620689655173;30334;1758953.6;26/01/2026;57.5
26/01/2026;55.9;57.5;57.5;55.9;56.78478729963009;6488;368419.7;23/01/2026;55.8
23/01/2026;55.85;55.8;56;55.8;55.90238383478725;5617;314003.69;22/01/2026;55.85
22/01/2026;55.8;55.85;56;55.8;55.87393627170387;5241;292835.3;21/01/2026;56
21/01/2026;55.91;56;56.4;55.91;56.24682458137791;36011;2025504.4;20/01/2026;54.47
20/01/2026;55.99;55.9;56;55.9;55.97440610484406;1507;84353.43;19/01/2026;55.99
19/01/2026;56;55.99;56;55.99;55.988482142857144;448;25082.84;16/01/2026;56
16/01/2026;55.5;56;56;55.5;55.56744417622209;9942;552451.53;15/01/2026;55
15/01/2026;55;55;55.5;55;55.18060675443618;8735;482002.6;14/01/2026;54.45
14/01/2026;54.25;54.45;55.49;54.25;54.96030715705765;20120;1105801.38;13/01/2026;54
13/01/2026;54.9;54;54.9;53.5;54.145224929709464;8536;462183.64;12/01/2026;54.7
12/01/2026;51;54.7;54.8;51;53.93961916461916;4884;263441.1;09/01/2026;52.8
09/01/2026;51.1;52.8;52.8;51;51.31549257017061;3634;186480.5;08/01/2026;50.9
08/01/2026;51;50.9;52.9;50.7;51.01386276212929;8059;411120.72;07/01/2026;50.7
07/01/2026;50.3;50.7;51;50.3;50.691464401294496;6180;313273.25;06/01/2026;50.3
06/01/2026;49.61;50.3;50.3;49.61;50.071529088519895;8371;419148.77;05/01/2026;49.5
05/01/2026;49;49.5;49.8;49;49.18098076402059;3691;181527;02/01/2026;49
02/01/2026;49;49;49;49;48.98295454545455;88;4310.5;31/12/2025;49
01/01/2026;;;;;;;;;49
31/12/2025;48.75;49;49;48.75;48.981667681071215;8215;402384.4;30/12/2025;48.75
30/12/2025;48.2;48.75;49;48.1;48.48069406392694;16425;796295.4;29/12/2025;47.8
29/12/2025;47.7;47.8;47.8;47.6;47.693723175965665;1864;88901.1;26/12/2025;47.8
26/12/2025;47.7;47.8;48;47.7;47.830963302752295;1962;93844.35;23/12/2025;47.6
24/12/2025;;;;;47.65;5;238.25;23/12/2025;47.6
23/12/2025;47.75;47.6;47.75;47.6;47.72501380452788;1811;86430;22/12/2025;47.5
22/12/2025;47.9;47.5;47.9;47;47.55938661710037;538;25586.95;19/12/2025;46.7
19/12/2025;46.45;46.7;47.5;46.3;46.91837708830549;1257;58976.4;18/12/2025;46.45
18/12/2025;46;46.45;46.45;46;46.09086538461539;936;43141.05;17/12/2025;46.2
17/12/2025;46.2;46.2;46.2;46.2;46.20998003992016;1002;46302.4;16/12/2025;47.2
16/12/2025;46.2;47.2;47.45;46.2;47.1688093730209;1579;74479.55;15/12/2025;47.2
15/12/2025;47.4;47.2;47.45;47;47.30552742616034;1185;56057.05;12/12/2025;47.4
