Fecha de cotización;Apertura;Cierre;Máximo;Mínimo;Promedio;Cantidad negociada;Monto negociado (S/);Fecha anterior;Cierre anterior corregido
19/05/2026;4.07;4.07;4.07;4.07;4.078255562422744;6472;26394.47;18/05/2026;4.07
18/05/2026;3.9;4.07;4.07;3.85;4.058643081775014;112247;455570.51;15/05/2026;4.05
15/05/2026;4.06;4.05;4.1;4.05;4.079990318676886;49580;202285.92;14/05/2026;4.07
14/05/2026;4.1;4.07;4.1;4.07;4.074026659387653;43962;179102.36;13/05/2026;4.067
13/05/2026;4.07;4.067;4.07;4.06;4.069772451337485;25533;103913.5;12/05/2026;4.046
12/05/2026;4.08;4.046;4.08;4.02;4.054663987688098;23392;94846.7;11/05/2026;4.032
11/05/2026;4.06;4.032;4.06;4;4.04320845176535;58402;236131.46;08/05/2026;4.06
08/05/2026;4.04;4.06;4.06;4.04;4.043917386823119;12613;51005.93;07/05/2026;4.058
07/05/2026;4.05;4.058;4.07;4.03;4.060807873008812;71942;292142.64;06/05/2026;4.07
06/05/2026;4.05;4.07;4.07;4.05;4.06783857932006;53946;219443.62;05/05/2026;4.06
05/05/2026;4.06;4.06;4.06;4.06;4.060462151027641;43449;176423.02;04/05/2026;4.056
04/05/2026;4.08;4.056;4.08;4.05;4.062940558539631;50453;204987.54;30/04/2026;4.05
30/04/2026;4.05;4.05;4.05;4.05;4.061527742589308;11841;48092.55;29/04/2026;4.108
29/04/2026;4.1;4.108;4.11;4.1;4.106559020632156;18951;77823.4;28/04/2026;4.11
28/04/2026;4.1;4.11;4.11;4.05;4.097406367041199;12816;52512.36;27/04/2026;4.12
27/04/2026;4.14;4.12;4.14;4.1;4.120151980874317;17568;72382.83;24/04/2026;4.14
24/04/2026;4;4.14;4.14;4;4.115257808063601;17610;72469.69;23/04/2026;4
23/04/2026;4;4;4;4;4.00063606088423;93686;374803.59;22/04/2026;4
22/04/2026;4.01;4;4.01;3.95;3.96823421803299;32252;127983.49;21/04/2026;4
21/04/2026;4.02;4;4.02;4;4.003929758868911;30979;124037.74;17/04/2026;4
20/04/2026;;;;;4.000358168609562;5919;23678.12;17/04/2026;4
17/04/2026;4.04;4;4.05;4;4.012254205046055;39952;160297.58;16/04/2026;4.05
16/04/2026;4.07;4.05;4.1;4.05;4.075886524822695;52593;214363.1;15/04/2026;4.05
15/04/2026;4.1;4.05;4.1;4;4.0444017695556;44757;181015.29;14/04/2026;4.13
14/04/2026;4.48;4.47;4.5;4.47;4.484660742201845;95311;427437.5;13/04/2026;4.49
13/04/2026;4.49;4.49;4.49;4.48;4.489582400398053;56274;252646.76;10/04/2026;4.49
10/04/2026;4.49;4.49;4.49;4.49;4.490066375485779;58154;261115.32;09/04/2026;4.49
