Fecha de cotización;Apertura;Cierre;Máximo;Mínimo;Promedio;Cantidad negociada;Monto negociado ($);Fecha anterior;Cierre anterior corregido
20/05/2026;6.5;6.69;6.69;6.5;6.623990755007704;1298;8597.94;19/05/2026;6.72
19/05/2026;6.35;6.72;6.72;6.35;6.445316780821918;2336;15056.26;18/05/2026;6.283
18/05/2026;6.39;6.283;6.39;6.26;6.314698814482537;6242;39416.35;15/05/2026;6.39
15/05/2026;6.39;6.39;6.39;6.39;6.39;5868;37496.52;14/05/2026;6.37
14/05/2026;6.37;6.37;6.37;6.37;6.377709384460141;991;6320.31;13/05/2026;6.39
13/05/2026;6.39;6.39;6.39;6.39;6.389940298507463;1340;8562.52;12/05/2026;6.389
12/05/2026;6.39;6.389;6.39;6.38;6.38843093093093;5328;34037.56;11/05/2026;6.39
11/05/2026;6.38;6.39;6.39;6.38;6.378115034168564;1756;11199.97;08/05/2026;6.38
08/05/2026;6.37;6.38;6.38;6.36;6.376151473083448;12966;82673.18;07/05/2026;6.308
07/05/2026;6.39;6.308;6.39;6.25;6.3187332043129665;18085;114274.29;06/05/2026;6.3
06/05/2026;6.37;6.3;6.39;6.25;6.318182380854137;4847;30624.23;05/05/2026;6.383
05/05/2026;6.33;6.383;6.39;6.33;6.380604263730058;7083;45193.82;04/05/2026;6.2
04/05/2026;6.35;6.2;6.4;6.1;6.226764659396238;12654;78793.48;30/04/2026;6.35
30/04/2026;6.35;6.35;6.35;6.35;6.362100278551532;1795;11419.97;29/04/2026;6.4
29/04/2026;6.4;6.4;6.4;6.4;6.395386158475426;997;6376.2;28/04/2026;6.4
28/04/2026;6.45;6.4;6.45;6.4;6.424870848708488;1355;8705.7;27/04/2026;6.45
27/04/2026;6.45;6.45;6.45;6.45;6.449760785988893;2341;15098.89;23/04/2026;6.45
24/04/2026;;;;;6.447988980716254;1815;11703.1;23/04/2026;6.45
23/04/2026;6.45;6.45;6.45;6.45;6.451138755980861;1045;6741.44;22/04/2026;6.38
22/04/2026;6.38;6.38;6.38;6.38;6.359757934373319;1859;11822.79;21/04/2026;6.35
21/04/2026;6.35;6.35;6.35;6.35;6.366628468033776;1658;10555.87;20/04/2026;6.4
20/04/2026;6.4;6.4;6.4;6.4;6.4133867276887875;874;5605.3;17/04/2026;6.45
17/04/2026;6.53;6.45;6.53;6.45;6.478140478668054;9610;62254.93;16/04/2026;6.54
16/04/2026;6.55;6.54;6.55;6.54;6.543305785123967;968;6333.92;15/04/2026;6.52
15/04/2026;6.52;6.52;6.52;6.52;6.524290578887627;881;5747.9;14/04/2026;6.56
14/04/2026;6.56;6.56;6.56;6.56;6.555859284890427;1734;11367.86;13/04/2026;6.56
13/04/2026;6.55;6.56;6.56;6.55;6.5506925980633515;12186;79826.74;09/04/2026;6.56
10/04/2026;;;;;6.522913907284768;453;2954.88;09/04/2026;6.56
09/04/2026;6.56;6.56;6.56;6.56;6.56;722;4736.32;08/04/2026;6.56
08/04/2026;6.56;6.56;6.56;6.56;6.559780178131514;10554;69231.92;07/04/2026;6.56
07/04/2026;6.56;6.56;6.56;6.56;6.5617139001349525;1482;9724.46;01/04/2026;6.5
06/04/2026;;;;;6.533314917127072;362;2365.06;01/04/2026;6.5
01/04/2026;6.59;6.5;6.59;6.5;6.553329658213892;1814;11887.74;30/03/2026;6.59
31/03/2026;;;;;6.549168646080759;421;2757.2;30/03/2026;6.59
30/03/2026;6.59;6.59;6.59;6.59;6.59;302;1990.18;26/03/2026;6.6
27/03/2026;;;;;6.532876224398931;1123;7336.42;26/03/2026;6.6
26/03/2026;6.59;6.6;6.6;6.59;6.596746031746031;1260;8311.9;25/03/2026;6.5
25/03/2026;6.5;6.5;6.5;6.5;6.530747051114024;763;4982.96;24/03/2026;6.6
24/03/2026;6.6;6.6;6.6;6.6;6.598586261980831;1252;8261.43;23/03/2026;6.65
23/03/2026;6.65;6.65;6.65;6.65;6.65;704;4681.6;20/03/2026;6.59
20/03/2026;6.59;6.59;6.6;6.59;6.5934472168905955;2605;17175.93;19/03/2026;6.6
19/03/2026;6.6;6.6;6.6;6.6;6.608291262135922;1030;6806.54;18/03/2026;6.67
18/03/2026;6.71;6.71;6.71;6.71;6.71;14722;98784.62;17/03/2026;6.65
17/03/2026;6.65;6.65;6.71;6.6;6.6212299215539785;10708;70900.13;16/03/2026;6.7
16/03/2026;6.7;6.7;6.7;6.7;6.700737943056362;3442;23063.94;13/03/2026;6.65
13/03/2026;6.65;6.65;6.65;6.65;6.649836467702372;1223;8132.75;12/03/2026;6.74
12/03/2026;6.74;6.74;6.74;6.74;6.7391295336787564;965;6503.26;11/03/2026;6.73
11/03/2026;6.73;6.73;6.73;6.73;6.732788888888889;900;6059.51;10/03/2026;6.74
10/03/2026;6.74;6.74;6.74;6.74;6.740758620689655;580;3909.64;09/03/2026;6.74
09/03/2026;6.73;6.74;6.74;6.73;6.736767937944409;1547;10421.78;06/03/2026;6.74
06/03/2026;6.74;6.74;6.74;6.74;6.7307742998352555;1214;8171.16;04/03/2026;6.58
05/03/2026;;;;;6.75;163;1100.25;04/03/2026;6.58
04/03/2026;6.7;6.65;6.75;6.65;6.664027266028003;18998;126603.19;03/03/2026;6.69
03/03/2026;6.69;6.69;6.69;6.69;6.68160071942446;2224;14859.88;02/03/2026;6.69
02/03/2026;6.7;6.69;6.7;6.69;6.693008100147275;2716;18178.21;27/02/2026;6.69
27/02/2026;6.7;6.69;6.7;6.65;6.675904153354632;10955;73134.53;26/02/2026;6.65
26/02/2026;6.71;6.65;6.71;6.65;6.673608192068728;13037;87003.83;25/02/2026;6.75
25/02/2026;6.75;6.75;6.75;6.73;6.737862903225807;8432;56813.66;24/02/2026;6.75
24/02/2026;6.8;6.75;6.8;6.75;6.787357305936074;1752;11891.45;23/02/2026;6.8
23/02/2026;6.8;6.8;6.8;6.8;6.782686459087617;2762;18733.78;20/02/2026;6.6
20/02/2026;6.7;6.6;6.7;6.6;6.654004834810637;9928;66060.96;19/02/2026;6.7
19/02/2026;6.79;6.7;6.79;6.7;6.726950848194868;4598;30930.52;18/02/2026;6.8
18/02/2026;6.8;6.8;6.8;6.8;6.817172619047619;1008;6871.71;17/02/2026;6.8
17/02/2026;6.85;6.8;6.85;6.8;6.836075498575499;2808;19195.7;16/02/2026;6.8
16/02/2026;6.8;6.8;6.8;6.8;6.8;996;6772.8;13/02/2026;6.8
13/02/2026;6.8;6.8;6.8;6.8;6.807070324340709;6598;44913.05;12/02/2026;6.8
12/02/2026;6.8;6.8;6.8;6.8;6.804241593567251;5472;37232.81;11/02/2026;6.89
11/02/2026;6.9;6.89;6.9;6.89;6.896522940851299;1809;12475.81;10/02/2026;6.9
10/02/2026;6.9;6.9;6.9;6.9;6.8947965616045845;1745;12031.42;09/02/2026;6.9
09/02/2026;6.9;6.9;6.9;6.8;6.877502704001922;8321;57227.7;05/02/2026;6.7
06/02/2026;;;;;6.74063725490196;408;2750.18;05/02/2026;6.7
05/02/2026;6.8;6.7;6.8;6.7;6.7498001480384895;2702;18237.96;04/02/2026;6.7
04/02/2026;6.7;6.7;6.7;6.7;6.706670422535211;7100;47617.36;03/02/2026;6.9
03/02/2026;7.05;6.9;7.05;6.9;6.946569439840902;3017;20957.8;02/02/2026;6.9
02/02/2026;6.9;6.9;6.9;6.9;6.895431173004821;3734;25747.54;30/01/2026;6.9
30/01/2026;6.9;6.9;6.9;6.9;6.897359098228664;621;4283.26;29/01/2026;6.7
29/01/2026;6.7;6.7;6.7;6.7;6.7328554216867476;830;5588.27;26/01/2026;6.65
28/01/2026;;;;;6.661895161290323;248;1652.15;26/01/2026;6.65
27/01/2026;;;;;6.680000000000001;15;100.2;26/01/2026;6.65
26/01/2026;6.65;6.65;6.65;6.65;6.61416572077185;881;5827.08;23/01/2026;6.55
23/01/2026;6.55;6.55;6.55;6.55;6.55;1407;9215.85;22/01/2026;6.55
22/01/2026;6.35;6.55;6.55;6.35;6.440637408568443;957;6163.69;21/01/2026;6.35
21/01/2026;6.35;6.35;6.35;6.35;6.35;5236;33248.6;20/01/2026;6.32
20/01/2026;6.32;6.32;6.32;6.32;6.319942446043165;3475;21961.8;16/01/2026;6.32
19/01/2026;;;;;6.31968992248062;645;4076.2;16/01/2026;6.32
16/01/2026;6.32;6.32;6.32;6.32;6.32;1432;9050.24;14/01/2026;6.32
15/01/2026;;;;;6.310273631840796;402;2536.73;14/01/2026;6.32
