Fecha de cotización;Apertura;Cierre;Máximo;Mínimo;Promedio;Cantidad negociada;Monto negociado ($);Fecha anterior;Cierre anterior corregido
19/05/2026;45.54;45.54;45.54;45.54;45.62150375939849;133;6067.66;18/05/2026;44.95
18/05/2026;44.85;45.1;45.1;44.85;44.93479210711769;1419;63762.47;14/05/2026;45
15/05/2026;;;;;45.50214285714286;14;637.03;14/05/2026;45
14/05/2026;45;45;45;45;45.29420454545454;176;7971.78;13/05/2026;48
13/05/2026;44.52;48;48;44.52;44.821287506819424;1833;82157.42;12/05/2026;44.5
12/05/2026;44.6;44.5;44.6;44.5;44.64402366863905;169;7544.84;11/05/2026;44.44
11/05/2026;44.6;44;44.6;44;44.37586821015138;2246;99668.2;08/05/2026;45.46
08/05/2026;45;45.46;46;45;45.10002502085071;1199;54074.93;07/05/2026;44.83
07/05/2026;45.54;44.83;45.54;44.82;44.90719236564541;1991;89410.22;06/05/2026;45.1
06/05/2026;45.1;45.1;45.1;45;45.092481012658226;395;17811.53;04/05/2026;45.01
05/05/2026;;;;;44.19529411764706;34;1502.64;04/05/2026;45.01
04/05/2026;43.72;43.72;43.72;43.72;43.80791666666667;144;6308.34;30/04/2026;45.15
30/04/2026;44.55;45.15;45.15;43.85;44.4827106741573;712;31671.69;29/04/2026;44.8
29/04/2026;44.8;44.8;44.8;44.8;45.101578947368424;57;2570.79;28/04/2026;45
28/04/2026;45.05;45;45.05;45;45.07511945392491;293;13207.01;27/04/2026;45.01
27/04/2026;45.1;45.2;45.2;45.1;45.82650406504065;123;5636.66;24/04/2026;45.1
24/04/2026;44.45;45.1;45.1;44.45;44.55087511394713;1097;48872.31;23/04/2026;44.7
23/04/2026;46.5;46.5;46.5;46.5;46.44489539748954;239;11100.33;22/04/2026;46.53
22/04/2026;46.5;46.53;47;46.5;46.64253521126761;1065;49674.3;21/04/2026;48.51
21/04/2026;48.51;48.51;48.51;48.51;48.44146788990825;109;5280.12;20/04/2026;48.71
20/04/2026;49.85;48.71;49.85;48.71;48.917341513292435;489;23920.58;17/04/2026;48.71
17/04/2026;49.29;48.71;49.55;48.7;48.94454313425217;3918;191764.72;16/04/2026;47.65
16/04/2026;47.1;47.65;48.1;47.1;47.42701011959522;2174;103106.32;15/04/2026;45.5
15/04/2026;49.32;45.5;49.32;45.1;46.36523986293547;3502;162371.07;14/04/2026;50.5
14/04/2026;50.84;50.5;51.9;50.5;50.752828104286344;2263;114853.65;13/04/2026;51
13/04/2026;52.1;51;52.5;51;51.633346153846155;13000;671233.5;10/04/2026;50.15
10/04/2026;50.15;50.15;50.15;50.15;50.51958762886598;97;4900.4;09/04/2026;51.4
09/04/2026;51.58;51.4;51.58;51.4;51.54872074882996;1282;66085.46;08/04/2026;51.21
08/04/2026;51.85;51.21;51.85;51;51.44293413173652;1336;68727.76;07/04/2026;49.9
07/04/2026;49.9;49.9;49.9;49.9;50.04157894736842;114;5704.74;06/04/2026;49.9
06/04/2026;52.05;49.9;52.05;49.85;50.26912790697675;344;17292.58;01/04/2026;50.4
01/04/2026;50.01;50.4;51.27;50.01;50.50505094614265;687;34696.97;31/03/2026;49.9
31/03/2026;48.98;49.9;49.9;48.98;49.27312918660287;1045;51490.42;30/03/2026;48
30/03/2026;47.75;48;48;47.75;47.827173144876326;283;13535.09;27/03/2026;48.89
27/03/2026;48;48.89;48.89;47.22;47.22907673849309;103351;4881172.31;26/03/2026;47.76
26/03/2026;48.25;47.76;48.5;47.76;48.08513643659711;623;29957.04;25/03/2026;48.25
25/03/2026;48.7;48.25;48.8;48.25;48.51794333683106;953;46237.6;24/03/2026;47.55
24/03/2026;47.55;47.55;47.55;47.55;47.57963060686016;379;18032.68;23/03/2026;48.53
23/03/2026;48.2;48.53;50;48.2;48.542987337257;5607;272180.53;19/03/2026;45.03
20/03/2026;;;;;47;30;1410;19/03/2026;45.03
19/03/2026;46;45.03;46;45.03;45.5390990990991;222;10109.68;18/03/2026;46.5
18/03/2026;46.51;46.5;46.51;46.5;46.50894514767933;237;11022.62;16/03/2026;45.51
17/03/2026;;;;;46.5;5;232.5;16/03/2026;45.51
16/03/2026;45.51;45.51;45.51;45.51;45.51;231;10512.81;12/03/2026;45.5
13/03/2026;;;;;44.85;17;762.45;12/03/2026;45.5
12/03/2026;45.5;45.5;45.5;45.3;45.465;2000;90930;11/03/2026;46
11/03/2026;46.64;46;46.7;46;46.49277853260869;2944;136874.74;09/03/2026;43.51
10/03/2026;;;;;44.997368421052634;19;854.95;09/03/2026;43.51
09/03/2026;43.08;43.51;43.51;42;43.307577464788736;355;15374.19;06/03/2026;44.7
06/03/2026;44.7;44.7;44.7;44.7;44.6988978930308;617;27579.22;05/03/2026;44.9
05/03/2026;45.01;44.9;45.1;44.7;44.73445380038172;8907;398449.78;04/03/2026;46.6
04/03/2026;46;46.6;46.6;45.95;46.50119346733668;3184;148059.8;03/03/2026;45.95
03/03/2026;45.95;45.95;45.95;45.95;46.14752293577982;109;5030.08;02/03/2026;48.2
02/03/2026;47.67;48.2;48.2;47.67;47.96277372262774;274;13141.8;26/02/2026;50.5
27/02/2026;;;;;50.4;2;100.8;26/02/2026;50.5
26/02/2026;50.5;50.5;50.5;50.5;50.49514563106796;103;5201;25/02/2026;50.35
25/02/2026;50;50.35;50.66;50;50.370178160919544;1740;87644.11;24/02/2026;49.5
24/02/2026;49;49.5;49.5;49;49.46690082644628;484;23941.98;20/02/2026;50
23/02/2026;;;;;50.34510204081632;49;2466.91;20/02/2026;50
20/02/2026;50;50;50.2;50;50.033919793014235;773;38676.22;19/02/2026;50
19/02/2026;49.25;50;50.15;49.25;49.857151442307696;3328;165924.6;18/02/2026;48
18/02/2026;48;48;48;48;48.09209302325581;430;20679.6;17/02/2026;47.5
17/02/2026;47.5;47.5;47.5;47.5;47.521140939597316;149;7080.65;13/02/2026;48
16/02/2026;;;;;48.4;25;1210;13/02/2026;48
13/02/2026;48.4;48;48.5;48;48.36266743648961;866;41882.07;12/02/2026;48.36
12/02/2026;51.49;48.36;51.49;48.28;48.723316326530615;392;19099.54;11/02/2026;51.3
11/02/2026;51.3;51.3;51.3;51.3;51.37124777183601;561;28819.27;10/02/2026;51.35
10/02/2026;51.13;51.35;51.35;51.13;51.26203539823008;791;40548.27;09/02/2026;51.35
09/02/2026;50.8;51.35;51.35;50.8;51.284474137931035;2320;118979.98;06/02/2026;51.05
06/02/2026;50.99;51.05;51.05;50.5;50.939173228346455;508;25877.1;05/02/2026;50.55
05/02/2026;50.55;50.55;50.55;50.55;50.152;110;5516.72;03/02/2026;51.42
04/02/2026;;;;;50.046800000000005;25;1251.17;03/02/2026;51.42
03/02/2026;50.6;51.42;51.42;50.6;51.17011875;1600;81872.19;02/02/2026;50.6
02/02/2026;49.9;50.6;50.99;49.9;50.5835942947702;3155;159591.24;29/01/2026;49.9
30/01/2026;;;;;49.891000000000005;10;498.91;29/01/2026;49.9
29/01/2026;49.75;49.9;49.9;48.5;49.20595588235294;952;46844.07;28/01/2026;48.95
28/01/2026;48.85;48.95;48.95;48.7;49.02845018450184;271;13286.71;27/01/2026;48.37
27/01/2026;48.7;48.37;48.8;48.37;48.60544426494346;619;30086.77;26/01/2026;47.7
26/01/2026;47;47.7;47.7;47;47.38863784665579;1226;58098.47;23/01/2026;46.85
23/01/2026;47.45;46.85;47.45;46.85;47.314288813139136;6454;305366.42;22/01/2026;47.58
22/01/2026;47.74;47.58;47.9;47.37;47.67973649538867;759;36188.92;21/01/2026;46.75
21/01/2026;46;46.75;46.75;46;46.66456917475728;1648;76903.21;20/01/2026;45.9
20/01/2026;45.7;45.9;45.9;45.7;45.70182033096926;846;38663.74;16/01/2026;45.4
19/01/2026;;;;;45.64375;64;2921.2;16/01/2026;45.4
16/01/2026;45.4;45.4;45.4;45.4;45.399806611198564;4447;201892.94;15/01/2026;45.2
15/01/2026;45.4;45.2;45.7;44.51;45.35310186951545;2621;118870.48;14/01/2026;45.39
14/01/2026;45.26;45.39;45.39;45.17;45.17662598354793;22368;1010510.77;13/01/2026;45.1
13/01/2026;45.1;45.1;45.1;45.1;45.15216710182767;383;17293.28;12/01/2026;45.69
12/01/2026;45.7;45.69;45.7;45.01;45.551904761904765;945;43046.55;09/01/2026;45.01
09/01/2026;44.15;45.01;45.01;44.15;44.83202038924931;1079;48373.75;08/01/2026;44.91
08/01/2026;43;44.91;44.91;42.75;43.15203911342895;3835;165488.07;06/01/2026;43
07/01/2026;;;;;42.958985507246375;69;2964.17;06/01/2026;43
06/01/2026;43.12;43;43.63;43;43.35143336529242;2086;90431.09;05/01/2026;43
05/01/2026;43;43;43.05;43;43.02157556270096;311;13379.71;30/12/2025;42.12
02/01/2026;;;;;42.370000000000005;41;1737.17;30/12/2025;42.12
01/01/2026;;;;;;;;;42.12
31/12/2025;;;;;42.12;13;547.56;30/12/2025;42.12
30/12/2025;42.2;42.12;42.2;42.12;42.17018633540373;161;6789.4;29/12/2025;42.6
29/12/2025;42.35;42.6;42.6;42.35;42.52554702495202;521;22155.81;23/12/2025;42.3
26/12/2025;;;;;42.723684210526315;38;1623.5;23/12/2025;42.3
24/12/2025;;;;;43.49;2;86.98;23/12/2025;42.3
23/12/2025;42.3;42.3;42.3;42.3;42.32962962962963;135;5714.5;22/12/2025;42
22/12/2025;43.75;42;43.75;42;42.29958218549128;4356;184256.98;19/12/2025;43.26
19/12/2025;42.85;43.26;43.26;42.85;43.204482522275526;5836;252141.36;18/12/2025;42.6
18/12/2025;42.6;42.6;42.6;42.6;42.60058236272879;3005;128014.75;17/12/2025;41.5
17/12/2025;42;41.5;42;41.5;41.920111731843576;179;7503.7;16/12/2025;40.95
16/12/2025;41;40.95;41;40.95;40.971115537848604;502;20567.5;15/12/2025;41.01
15/12/2025;41.01;41.01;41.01;41.01;41.01;144;5905.44;12/12/2025;41
12/12/2025;41;41;41;41;41.086436781609194;261;10723.56;11/12/2025;41.03
11/12/2025;41.01;41.03;41.03;41.01;41.04911111111111;540;22166.52;10/12/2025;40.8
10/12/2025;40.8;40.8;40.8;40.8;40.82767441860465;344;14044.72;05/12/2025;40.41
05/12/2025;40.72;40.41;40.72;40.27;40.312877519379846;3225;130009.03;04/12/2025;41.15
04/12/2025;40.85;41.15;41.15;40.85;41.05507478632479;936;38427.55;03/12/2025;40.13
03/12/2025;39.91;40.13;40.13;39.91;40.05087600246761;1621;64922.47;01/12/2025;40.1
02/12/2025;;;;;39.11;6;234.66;01/12/2025;40.1
01/12/2025;40.1;40.1;40.1;40.1;40.126366279069764;688;27606.94;28/11/2025;40
28/11/2025;39.01;40;40;39.01;39.505;200;7901;26/11/2025;40
27/11/2025;;;;;;;;26/11/2025;40
26/11/2025;40;40;40;40;40.02257575757575;66;2641.49;25/11/2025;39.79
25/11/2025;39.79;39.79;39.79;39.79;39.76081850533808;281;11172.79;24/11/2025;39.86
24/11/2025;39.86;39.86;39.86;39.86;39.8602146210597;7455;297157.9;21/11/2025;40.1
21/11/2025;39.24;40.1;40.1;39.24;39.37838949671772;2285;89979.62;20/11/2025;39.95
20/11/2025;39.3;39.95;39.95;39.3;39.57465181058495;359;14207.3;19/11/2025;39.7
19/11/2025;39.75;39.7;39.85;39.7;39.785629764065334;5510;219218.82;18/11/2025;39.5
18/11/2025;38.82;39.5;39.5;38.82;39.19772130211308;1751;68635.21;17/11/2025;38.9
17/11/2025;38.9;38.9;38.9;38.9;39.075;128;5001.6;14/11/2025;39.9
