Fecha de cotización;Apertura;Cierre;Máximo;Mínimo;Promedio;Cantidad negociada;Monto negociado (S/);Fecha anterior;Cierre anterior corregido
19/05/2026;0.132;0.132;0.132;0.131;0.13176574045843367;291907;38463.342;18/05/2026;0.133
18/05/2026;0.133;0.133;0.133;0.131;0.1324084045479506;395167;52323.432;15/05/2026;0.133
15/05/2026;0.132;0.133;0.133;0.132;0.13239262966732174;455936;60362.566;14/05/2026;0.131
14/05/2026;0.131;0.131;0.137;0.13;0.13048191457734615;1130192;147469.616;13/05/2026;0.132
13/05/2026;0.134;0.132;0.134;0.132;0.13343808851129094;247765;33061.288;12/05/2026;0.134
12/05/2026;0.131;0.134;0.135;0.131;0.13379124832908898;409956;54848.525;11/05/2026;0.132
11/05/2026;0.135;0.132;0.135;0.132;0.1333344623254083;317097;42279.958;08/05/2026;0.137
08/05/2026;0.14;0.137;0.14;0.137;0.13744302048787513;222229;30543.825;07/05/2026;0.137
07/05/2026;0.137;0.137;0.137;0.137;0.13666065342658876;146122;19969.128;06/05/2026;0.132
06/05/2026;0.135;0.132;0.135;0.132;0.13373043082876704;301303;40293.38;05/05/2026;0.131
05/05/2026;0.131;0.131;0.131;0.131;0.13380914113077255;231700;31003.578;04/05/2026;0.132
04/05/2026;0.141;0.132;0.141;0.131;0.13462735635712625;1218247;164009.373;30/04/2026;0.139
30/04/2026;0.139;0.139;0.139;0.139;0.13853664928538623;185065;25638.285;29/04/2026;0.139
29/04/2026;0.139;0.139;0.139;0.138;0.13839218061160966;472262;65357.368;28/04/2026;0.139
28/04/2026;0.139;0.139;0.139;0.139;0.1385524411238697;59829;8289.454;27/04/2026;0.135
27/04/2026;0.135;0.135;0.135;0.135;0.1352493327649479;215816;29188.97;24/04/2026;0.14
24/04/2026;0.14;0.14;0.14;0.14;0.13686061679891123;155772;21319.052;23/04/2026;0.136
23/04/2026;0.136;0.136;0.136;0.136;0.13602902261200642;348797;47446.515;22/04/2026;0.136
22/04/2026;0.136;0.136;0.136;0.136;0.13617441868704164;423395;57655.568;21/04/2026;0.137
21/04/2026;0.139;0.137;0.139;0.137;0.13813816257808562;500092;69081.79;20/04/2026;0.139
20/04/2026;0.139;0.139;0.139;0.139;0.1386344885828434;215509;29876.98;17/04/2026;0.139
17/04/2026;0.139;0.139;0.139;0.139;0.13893532776066872;215935;30001;16/04/2026;0.139
16/04/2026;0.139;0.139;0.14;0.139;0.13930328981931317;953639;132845.05;15/04/2026;0.139
15/04/2026;0.139;0.139;0.139;0.139;0.13798871736191284;293637;40518.593;14/04/2026;0.141
14/04/2026;0.142;0.141;0.142;0.141;0.1416836209958801;301221;42678.082;13/04/2026;0.142
13/04/2026;0.15;0.142;0.15;0.142;0.14629144833891994;540281;79038.49;10/04/2026;0.145
10/04/2026;0.145;0.145;0.145;0.145;0.14526080149801238;195459;28392.531;09/04/2026;0.148
09/04/2026;0.14;0.148;0.148;0.14;0.14446150137627534;242684;35058.495;08/04/2026;0.143
08/04/2026;0.15;0.143;0.15;0.143;0.14707957280440445;1901705;279701.959;06/04/2026;0.145
07/04/2026;;;;;0.1451048850158469;172589;25043.507;06/04/2026;0.145
06/04/2026;0.145;0.145;0.145;0.145;0.1429875455870608;179053;25602.349;01/04/2026;0.141
01/04/2026;0.138;0.141;0.141;0.137;0.1371705136094783;3056583;419273.06;31/03/2026;0.135
31/03/2026;0.135;0.135;0.135;0.135;0.13540941106493842;1486208;201246.55;30/03/2026;0.15
30/03/2026;0.142;0.15;0.15;0.142;0.14488016956317096;667126;96653.328;27/03/2026;0.14
27/03/2026;0.136;0.14;0.14;0.136;0.13975312142655905;603410;84328.431;26/03/2026;0.136
26/03/2026;0.14;0.136;0.14;0.136;0.13840470762037796;484661;67079.364;25/03/2026;0.135
25/03/2026;0.135;0.135;0.135;0.135;0.13520241557991255;519130;70187.63;24/03/2026;0.134
24/03/2026;0.134;0.134;0.134;0.133;0.13443248223531049;920928;123802.637;23/03/2026;0.14
23/03/2026;0.14;0.14;0.14;0.14;0.13725695669003485;139506;19148.169;20/03/2026;0.133
