Fecha de cotización;Apertura;Cierre;Máximo;Mínimo;Promedio;Cantidad negociada;Monto negociado (S/);Fecha anterior;Cierre anterior corregido
19/05/2026;3.35;3.191;3.35;3.16;3.2281603101104004;169746;547967.3;18/05/2026;3.351
18/05/2026;3.35;3.351;3.4;3.35;3.3909373485716987;253833;860731.8;15/05/2026;3.3
15/05/2026;3.3;3.3;3.3;3.3;3.2996535291965596;322538;1064263.65;14/05/2026;3.33
14/05/2026;3.36;3.33;3.36;3.33;3.3435481792717088;17850;59682.335;13/05/2026;3.387
13/05/2026;3.3;3.387;3.4;3.28;3.3878407411447276;834277;2826397.61;12/05/2026;3.261
12/05/2026;3.31;3.261;3.31;3.26;3.280321887743984;128492;421495.12;11/05/2026;3.358
11/05/2026;3.27;3.358;3.4;3.27;3.3767086608228642;1351061;4562139.38;08/05/2026;3.305
08/05/2026;3.39;3.305;3.39;3.29;3.3064240816553014;324388;1072564.295;07/05/2026;3.369
07/05/2026;3.4;3.369;3.45;3.36;3.3889612838560983;176593;598466.84;06/05/2026;3.404
06/05/2026;3.37;3.404;3.41;3.35;3.3952925870399127;335507;1139144.43;05/05/2026;3.307
05/05/2026;3.26;3.307;3.34;3.24;3.2768911273825143;70881;232269.32;04/05/2026;3.262
04/05/2026;3.31;3.262;3.31;3.26;3.2824924262222095;103317;339137.27;30/04/2026;3.304
30/04/2026;3.3;3.304;3.33;3.3;3.3092471930569887;82385;272632.33;29/04/2026;3.3
29/04/2026;3.3;3.3;3.3;3.3;3.3000001203253593;83108;274256.41;28/04/2026;3.327
28/04/2026;3.25;3.327;3.33;3.24;3.313694289305183;134467;445582.53;27/04/2026;3.347
27/04/2026;3.35;3.347;3.35;3.33;3.3493838765008577;87450;292903.62;24/04/2026;3.35
24/04/2026;3.35;3.35;3.35;3.33;3.342403317960745;63533;212352.91;23/04/2026;3.4
23/04/2026;3.35;3.4;3.4;3.3;3.3801322285439057;664380;2245692.25;22/04/2026;3.35
22/04/2026;3.3;3.35;3.35;3.3;3.348292644931568;89870;300911.06;21/04/2026;3.33
21/04/2026;3.16;3.33;3.4;3.16;3.3352353368791063;869392;2899626.92;20/04/2026;3.1
