Fecha de cotización;Apertura;Cierre;Máximo;Mínimo;Promedio;Cantidad negociada;Monto negociado (S/);Fecha anterior;Cierre anterior corregido
19/05/2026;2.65;2.658;2.7;2.65;2.6555151281185156;41446;110060.48;15/05/2026;2.613
18/05/2026;;;;;2.7236691729323312;3325;9056.2;15/05/2026;2.613
15/05/2026;2.64;2.613;2.64;2.6;2.612420536787894;44077;115147.66;14/05/2026;2.617
14/05/2026;2.64;2.617;2.65;2.52;2.613723232744722;105446;275606.66;13/05/2026;2.723
13/05/2026;2.71;2.723;2.75;2.52;2.614784729600166;154364;403628.63;12/05/2026;2.76
12/05/2026;2.77;2.76;2.78;2.74;2.7706611528569267;39658;109878.88;11/05/2026;2.8
11/05/2026;2.79;2.8;2.8;2.79;2.7994648837917384;39412;110332.51;08/05/2026;2.78
08/05/2026;2.75;2.78;2.79;2.75;2.7772353051408585;16009;44460.76;07/05/2026;2.754
07/05/2026;2.75;2.754;2.76;2.75;2.754040536326785;32070;88322.08;06/05/2026;2.74
06/05/2026;2.76;2.74;2.77;2.74;2.75161944094962;73124;201209.42;05/05/2026;2.735
05/05/2026;2.74;2.735;2.76;2.71;2.746310168674699;51875;142464.84;04/05/2026;2.768
04/05/2026;2.79;2.768;2.79;2.76;2.7751667281332595;65076;180596.75;30/04/2026;2.8
30/04/2026;2.795;2.8;2.8;2.79;2.799035301127054;60423;169126.11;29/04/2026;2.798
29/04/2026;2.83;2.798;2.85;2.79;2.8002714860188913;106930;299433.03;28/04/2026;2.901
28/04/2026;2.92;2.901;2.97;2.9;2.920324859522648;55347;161631.22;27/04/2026;3
27/04/2026;3.01;3;3.01;2.9;2.891448993648121;13067;37782.564;24/04/2026;2.9
24/04/2026;2.9;2.9;2.9;2.9;2.910161182895964;15014;43693.16;23/04/2026;2.96
23/04/2026;2.96;2.96;2.96;2.96;2.966325575886777;16887;50092.34;22/04/2026;2.95
22/04/2026;2.95;2.95;2.95;2.95;2.9547692447184697;11029;32588.15;21/04/2026;2.95
21/04/2026;2.95;2.95;2.95;2.95;2.951557739015235;9058;26735.21;20/04/2026;2.98
20/04/2026;2.98;2.98;2.98;2.97;2.9745508662816524;11255;33478.57;17/04/2026;2.9
17/04/2026;2.9;2.9;2.9;2.9;2.911575275305476;26516;77203.33;16/04/2026;3.04
16/04/2026;2.94;3.04;3.07;2.94;3.0039827993458905;16511;49598.76;15/04/2026;2.85
15/04/2026;2.92;2.85;2.92;2.85;2.8692448077706216;66301;190233.8;14/04/2026;2.97
14/04/2026;2.98;2.97;3;2.97;2.995212838606875;26358;78947.82;13/04/2026;2.98
13/04/2026;3.05;2.98;3.05;2.98;3.023198382083068;26701;80722.42;10/04/2026;3
10/04/2026;3;3;3;3;3.0007244024786073;20334;61016.73;09/04/2026;3
09/04/2026;3.05;3;3.05;3;3.0184656169025317;25085;75718.21;08/04/2026;3.02
08/04/2026;3.05;3.02;3.05;3.02;3.040593054504657;38327;116536.81;07/04/2026;3
07/04/2026;3.02;3;3.02;3;3.015214722158174;34696;104615.89;06/04/2026;3
06/04/2026;3.02;3;3.02;3;3.0046172241740723;33871;101769.39;01/04/2026;3.03
01/04/2026;3.03;3.03;3.03;3.03;3.0313832936950926;20603;62455.59;31/03/2026;3.02
31/03/2026;3.02;3.02;3.02;3.02;3.0236172265093058;17624;53288.23;30/03/2026;3.1
30/03/2026;3.1;3.1;3.1;3.1;3.0472476346860584;12789;38971.25;27/03/2026;2.95
27/03/2026;2.95;2.95;2.95;2.95;2.9866718464351005;21880;65348.38;26/03/2026;3.02
26/03/2026;3;3.02;3.05;2.95;2.9919352938366743;62807;187914.48;25/03/2026;2.95
25/03/2026;3;2.95;3.01;2.95;2.9698213877457706;69984;207839.98;24/03/2026;3.03
24/03/2026;2.99;3.03;3.03;2.95;3.004300573613767;39225;117843.69;23/03/2026;2.95
23/03/2026;2.99;2.95;3;2.9;2.9478144493774034;124559;367176.82;20/03/2026;2.9
